"gene","source_cluster","best_abs_log2FC"
"ENSG00000265781","15",13.0698646072965
"ENSG00000286799","4",12.305264312413
"ENSG00000236116","4",12.266185724353
"ENSG00000251670","15",11.0647394326457
"ENSG00000249731","4",10.9700455112461
"HMGB1P28","4",10.5114493628946
"VWA1","4",10.4160678445992
"ELMO2P1","15",10.3641654663912
"ENSG00000220702","4",10.2474929488268
"ENSG00000205037","8",9.99068265126033
"ENSG00000227718","15",9.91658171384164
"ENSG00000287472","4",9.88347416295806
"ENSG00000259672","4",9.86708958654742
"LINC02238","8",9.84695481239938
"NTMT2","4",9.69782880147972
"ENSG00000254303","15",9.68975204666829
"ENSG00000231877","4",9.62872781692894
"LRRC52-AS1","8",9.58185030380201
"EPHA5-AS1","8",9.57782445028307
"KIRREL1","15",9.55576742601054
"PRDM14","8",9.36732464818601
"CCN6","15",8.97860572664416
"KCNC2","4",8.92532403433429
"ENSG00000230472","4",8.9178354831818
"ENSG00000233290","8",8.81604896997757
"ACER1","4",8.81587674523452
"ENSG00000270321","15",8.78644194260659
"ENSG00000287446","15",8.58921827547087
"GRIK4","15",8.53330806185457
"ENSG00000285530","15",8.50929654156563
"ENSG00000287910","15",8.44052571791728
"SMOC2","15",8.38075696043606
"CYP8B1","4",8.37237938420678
"CTXND1","4",8.28898941322007
"ENSG00000235140","4",8.28580081343887
"B4GALNT1","8",8.21176093250147
"KCTD14","15",8.20139953972275
"PPP1R36","8",8.19435417176476
"CD5L","15",8.1586947296887
"ADAMTS3","4",8.10892849279652
"ENSG00000284418","15",8.05917173954951
"ENSG00000285648","4",7.96156552590852
"ADAM11","15",7.94776976522256
"BAIAP2L2","4",7.93734786308913
"BCL9","8",7.91220234275897
"ENSG00000254468","15",7.89829935573016
"ST6GALNAC1","8",7.85589412336655
"TEX53","8",7.8324563714341
"DCLRE1A","4",7.72609138249866
"PLCXD3","15",7.67376752738442
"ENSG00000265125","8",7.6635609049986
"MDGA2","15",7.48284073983034
"ENSG00000285834","4",7.38759256272583
"ABCC9","4",7.38329033342462
"FBLIM1","8",7.34233217617276
"CSF2","15",7.2751585093587
"ENSG00000287424","4",7.24310903472642
"TRBV8-1","15",7.23094508639694
"RP1L1","4",7.17009539109088
"SRPRB","4",7.12440175888518
"MEOX1","4",7.05559294196628
"PYY","4",7.02522889318031
"RALYL","4",7.00377050490561
"ENSG00000287962","4",6.99459007191664
"GPRC5B","15",6.9796565379049
"TEX14","8",6.90014712291247
"ENSG00000249881","8",6.86093055221647
"CASC6","8",6.84976800759278
"XGY1","15",6.7963834955494
"OXR1","8",6.68593726479344
"LINC01091","8",6.67378265655159
"DNAH14","4",6.66441578787538
"IGFBP5","8",6.61331907203807
"LINC02934","8",6.58002308752126
"CACNA1B","4",6.56882328216707
"ERC2","4",6.51478487847354
"SERPINB10","8",6.47056124807326
"ENSG00000286685","8",6.38764680155713
"BDNF-AS","8",6.30678923886198
"PAPPA2","4",6.27697309104218
"ENSG00000265749","8",6.22289549967339
"LINC02899","8",6.22015848726982
"ENSG00000236935","8",6.21544043603338
"BCAS1","4",6.21064760572788
"CYP24A1","15",6.18778220929395
"ENSG00000249547","15",6.17867680556345
"ENSG00000267098","15",6.0984219134424
"ENSG00000225537","15",6.08949191099825
"LINC00871","8",6.08184263711954
"DAPL1","4",6.07999370181777
"EPN2","8",6.04882014373844
"IL6","4",6.0201148891872
"FAM163A","15",5.97913725928834
"ENSG00000254367","15",5.90912083967298
"GBP5","8",5.8796289800905
"ENSG00000215237","8",5.82170631192384
"DNAJC28","8",5.82152033752496
"SLC38A2","15",5.79888231922136
"MMP9","15",5.6171713878439
"ADGRG2","15",5.52062458431207
