"gene","source_cluster","best_abs_log2FC"
"ENSG00000265781","24",12.1587059068427
"ENSG00000285751","7",10.5455960247475
"ENSG00000259452","24",10.5156422383178
"ENSG00000267627","7",10.4564629736083
"ENSG00000251670","7",10.3082801661966
"GRIK4","7",9.87211282990909
"SULF1","7",9.73118992301908
"LINC00293","7",9.6878896158843
"CYP26B1","7",9.55968905450171
"INSC","7",9.3870290017353
"LRRC52-AS1","24",9.3584150279204
"ENSG00000284418","7",9.35113976639117
"KCTD14","7",8.96989742557296
"ENSG00000235140","3",8.85380634589213
"ENSG00000259672","3",8.82799850723112
"EPHA5-AS1","11",8.70853794049812
"ENSG00000233290","3",8.64806268709581
"PTPN5","7",8.57129090625189
"CTXND1","3",8.55534762567449
"LINC02238","24",8.54804601305583
"TEX53","11",8.21048602764216
"ENSG00000283982","11",8.18006831252446
"LINC01091","7",8.18004678186695
"ELMO2P1","3",8.02397185111958
"PRDM14","3",8.01682967236732
"ENSG00000231877","3",7.99216288403137
"FBLIM1","24",7.93826328118343
"PPP1R36","3",7.92462154427007
"ACER1","7",7.793689766951
"LGR4-AS1","11",7.67573929280151
"CYP2C23P","24",7.63525700529908
"RAB38","7",7.41904203670313
"CD5L","3",7.40453929893949
"B4GALNT1","11",7.39383338593731
"ENSG00000260990","3",7.38761414151988
"ENSG00000254303","7",7.36986695490331
"ADAMTS3","11",7.33186739225059
"ENSG00000215237","24",7.25175304572483
"TRAV40","7",7.17178683352812
"SLC38A2","7",7.08203432411575
"BCAS1","3",7.0424379455359
"ENSG00000265749","11",7.03035678798241
"TRBV8-1","7",7.00334889191393
"WLS","3",6.97019275740282
"OXR1","7",6.94452896214033
"ERC2","7",6.86821779894146
"ZFPM2","7",6.84934414603974
"ENSG00000287596","11",6.84638412503869
"ENSG00000287937","7",6.7872208716906
"SMOC2","3",6.78310349540925
"LINC02934","11",6.71503133473552
"MDGA2","7",6.70250519969896
"FPR1","11",6.67250350641638
"SLC17A3","24",6.67249360357338
"APAF1","7",6.64423960454613
"LINC00845","11",6.56028511529394
"ENSG00000285834","24",6.36119420368738
"PDGFRB","24",6.34911272750737
"DAPL1","3",6.23409862667771
"ARHGAP28","11",6.18311751208453
"PCLO","24",6.13887400533447
"JDP2","24",6.05803597860034
"HRH1","24",5.85863356041671
"NECTIN2","3",5.82024657071726
"LINC00871","11",5.78929975641164
"CPLX4","3",5.74198350523486
"BCL9","7",5.74165623738271
"DMGDH","7",5.70531995538081
"MS4A6E","24",5.64992877384965
"PLCH1","3",5.63075382169205
"GABRG3","7",5.60740884956277
"ENSG00000250137","3",5.47511560230829
"WNT5B","11",5.46537134092946
"CCDC153","11",5.44717797586748
"SOCS2","3",5.42237020516294
"BAIAP2L2","3",5.25810982618265
"ENSG00000286494","24",5.12555443287878
"ENSG00000267098","7",5.07205687567083
"CNTNAP5","11",4.78942530373501
"LINC02018","7",4.77227844734745
"SLC30A10","7",4.75277157168211
"NLGN1","11",4.72863706952862
"ZNF98","11",4.52338598771965
"ASTN2","7",4.51851464910464
"ENSG00000233635","3",4.45888327528453
"ENSG00000243276","11",4.2406486162499
"NRG1","3",4.17480734978376
"TMEM63C","11",4.11771848703582
"CYRIA","11",4.0012740136612
"CDH12","11",3.97767350536084
"PREX2","7",3.88569344722992
"C4orf45","7",3.8379802730173
"H4C8","3",3.67943995222415
"FES","11",3.39665064299791
"FGF14","11",3.34668198060192
"ENSG00000237188","11",3.14234130507812
"LRRC4C","11",3.07141654239063
"GBP5","11",3.01549387932417
