"gene","source_cluster","best_abs_log2FC"
"ENSG00000265781","10",13.2298104908185
"ENSG00000270321","10",11.1149073888271
"LINC02238","10",10.441416551195
"SULF1","10",10.2764515171733
"LRRC52-AS1","10",9.92984583521435
"ENSG00000258831","10",9.90888978215826
"ENSG00000205037","10",9.45320946958411
"ENSG00000251670","28",9.29024361251841
"ENSG00000233290","14",9.23922086891693
"ENSG00000235140","5",8.99126840570171
"ENSG00000229642","14",8.91600594902271
"FBLIM1","14",8.90331045206704
"CCN6","10",8.78336160475545
"ENSG00000259672","10",8.75026381773362
"ENSG00000231877","5",8.47744651957152
"CD5L","10",8.44340707164862
"ENSG00000287472","5",8.27362334931705
"PRDM14","10",8.2711128116544
"CYP2C23P","28",8.16071190011714
"LINC00845","14",8.11834529131014
"ENSG00000287596","5",8.11486666371646
"ENSG00000254468","10",8.1056618127892
"ENSG00000251199","10",8.05976366517853
"ENSG00000287143","10",7.98705521783591
"PPP1R36","14",7.9346420066892
"TDRD6","14",7.89973472542176
"CTXND1","10",7.8753565731938
"IGDCC3","14",7.80423180588706
"ENSG00000260990","5",7.79030118712899
"ENSG00000283982","5",7.69656282809238
"ENSG00000215237","14",7.65786223334672
"ENSG00000232328","10",7.61476462463027
"ELMO2P1","10",7.56220541306603
"LINC02934","14",7.52976407816664
"ENSG00000288041","10",7.4925538814364
"ADAM11","10",7.44216528278597
"ENSG00000287446","10",7.34389793378916
"WLS","5",7.32332249402701
"JDP2","5",7.17237483758383
"ENSG00000258921","10",7.15796825470376
"SMOC2","10",7.13493498930535
"ADAMTS3","5",7.05297954280877
"ENSG00000291061","10",7.03604002448413
"FAM163A","10",7.02131842587309
"PCDHA6","10",6.88489435261976
"LINC00355","28",6.84553790398612
"ACER1","14",6.83216535979503
"OXR1","14",6.82953494320047
"LINC02395","10",6.80028423556618
"PCLO","10",6.7779441287255
"TEX53","28",6.75313491625608
"DUXAP8","10",6.72322310510734
"CYP24A1","10",6.67105468067034
"UGT2B7","10",6.66850123686193
"ENSG00000254303","10",6.65517558706207
"ENSG00000287910","10",6.58106923092526
"TEX56P","10",6.5431095389748
"PAPPA2","14",6.48258759210319
"ENSG00000253939","28",6.45819371068972
"PRRX2","10",6.42801726020129
"LINC00871","14",6.37011298156397
"ENSG00000285530","28",6.3412176077072
"MPP4","10",6.24753174795998
"BCAS1","5",6.24046984192168
"ERC2","14",6.09700340874281
"GRM7","28",6.08648137994621
"MEOX1","5",5.96087793029229
"WNT5B","28",5.95804693850356
"ENSG00000259103","5",5.9312729925197
"CCDC153","14",5.74207027437571
"TMEM63C","14",5.70918890417701
"RALYL","10",5.61793285816495
"GRIK4","28",5.58349611217758
"RAB38","5",5.52956728361662
"LINC01630","10",5.47335013889845
"ZNF98","10",5.47260432772106
"ENSG00000265749","28",5.43404554068894
"LINC01091","28",5.42484628317017
"DCLRE1A","10",5.30110255463271
"KLHL4","10",5.26166935348121
"SRPRB","28",5.19609208931749
"DMGDH","10",5.15451554910952
"ANKRD30BL","14",5.11977686660521
"RIN2","10",4.96609402251324
"PLCH1","5",4.96492047863873
"SAMD4A","14",4.85808757393722
"ENSG00000240086","14",4.85160379155761
"BCL9","14",4.73660214585867
"ENSG00000250137","5",4.70893316546153
"IFI44","28",4.65658168213848
"LINC02208","14",4.46837312275018
"NLGN1","28",4.4198663687702
"ENSG00000286379","14",4.35628724558476
"ADGRG2","10",4.30876723022636
"LINC02306","28",4.29102050188906
"ACSS2","14",4.24800501618084
"IFI44L","28",4.1950962655779
"PRKG1","28",4.18996788488564
"BDNF-AS","14",4.12820486096873
"MED28-DT","28",4.11113427946787
