"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","stim","timepoint","comparison"
"RNU4-2",8.22204174976449e-81,1.86871109116792,0.689,0.525,5.15604238127731e-76,"25","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"NRG1",1.26063923514265e-77,-4.93180919569503,0.034,0.245,7.90546864357959e-73,"25","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"RNU4-1",3.75466388721752e-74,2.39934015284783,0.433,0.184,2.35454972367411e-69,"25","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"RNF217",4.09543995411379e-68,8.7188476166237,0.149,0.004,2.56825039522476e-63,"25","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"LINC02238",2.79771044658971e-65,7.99619514795008,0.149,0.005,1.75444422105641e-60,"25","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"CTXND1",3.38134401456703e-62,-7.34879680443916,0.002,0.128,2.12044083153499e-57,"25","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"BAIAP2L2",1.72458619504796e-60,-5.24422286867704,0.013,0.151,1.08148800291458e-55,"25","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"ENSG00000205037",2.91723986925645e-59,8.63056240469506,0.135,0.001,1.82940112201072e-54,"25","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"ENSG00000258231",2.4168227648592e-57,5.35260623767954,0.155,0.009,1.5155895558432e-52,"25","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"FZD4-DT",5.23011557351881e-55,6.09479126270056,0.136,0.004,3.27980547615365e-50,"25","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"ST6GALNAC1",4.9976714318852e-52,-6.23562727519509,0.008,0.139,3.13403975493521e-47,"25","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"ENSG00000251670",9.68700437377887e-50,-8.22748751133529,0.002,0.123,6.07472044279673e-45,"25","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"HIPK1",1.6096322776537e-44,2.25999715657299,0.412,0.315,1.00940040131664e-39,"25","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"MT-RNR1",8.27152060848322e-43,0.539520314770352,0.989,0.998,5.18707057357983e-38,"25","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"PRKG1",2.15156117242269e-41,-3.97453257462101,0.034,0.156,1.34924401122627e-36,"25","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"ENSG00000233290",4.41673911415031e-41,8.02101045265189,0.104,0.014,2.76973709848366e-36,"25","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"MTCO1P12",3.95519214892021e-40,3.43469335986225,0.141,0.012,2.48030099658786e-35,"25","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"ENSG00000275016",1.2547633349742e-37,-4.07739759259792,0.01,0.107,7.86862087362318e-33,"25","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"RPS6",1.45122202303609e-36,-0.711955286968321,0.686,0.81,9.10061330645931e-32,"25","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"TRIO",1.87579698993915e-34,-0.40429075360598,0.969,0.993,1.17631229239084e-29,"25","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"PARD3B",7.05261082338287e-32,3.02762712947966,0.143,0.024,4.4226922473434e-27,"25","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"MED28-DT",9.8233599662523e-32,-3.56494431018163,0.031,0.137,6.16022903483681e-27,"25","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"NFIA",2.01672560557591e-31,-4.24746189570975,0.025,0.118,1.26468862725665e-26,"25","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"PPP2R2B",3.08127447262307e-31,-2.86288181715243,0.018,0.112,1.93226722178193e-26,"25","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"SLFN5",3.51189378244556e-30,1.36276132254996,0.373,0.183,2.20230859097161e-25,"25","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"MAML3",5.21735341443698e-29,-1.18855069001148,0.246,0.41,3.27180232619343e-24,"25","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"IFI44L",2.89412450932706e-28,1.14631227736207,0.507,0.31,1.814905479799e-23,"25","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"RIPOR2",2.8995733594636e-28,-0.361561912554222,0.978,0.99,1.81832245371962e-23,"25","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"ANKRD30BL",4.00705098962742e-28,3.11962692976051,0.123,0.059,2.51282167559536e-23,"25","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"HFM1",1.06200283425049e-27,2.05738103740959,0.193,0.109,6.6598197735848e-23,"25","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"AFF3",2.58545965900051e-27,-0.315239448084434,0.995,0.999,1.62134175215922e-22,"25","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"IGHA1",5.32149887956255e-26,0.915883369053597,0.227,0.075,3.33711194737368e-21,"25","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"ITPR1",7.33127140711426e-26,-0.455302214944601,0.873,0.933,4.59744029940136e-21,"25","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
