"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","stim","timepoint","comparison"
"ENSG00000283982",3.05480507596511e-112,-8.75797693468072,0.001,0.199,1.91566826313772e-107,"26","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"ENSG00000287596",2.86857987750538e-98,-8.37709195397659,0.002,0.177,1.79888644118362e-93,"26","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"RBFOX1",7.22566719651599e-86,-2.87141360203184,0.091,0.336,4.53121589893518e-81,"26","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"ENSG00000265781",1.43590790867869e-84,-10.1338369180719,0.001,0.111,9.00457849532404e-80,"26","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"CYP2C23P",7.61319928069517e-81,-6.72614065729769,0.004,0.159,4.77423726892394e-76,"26","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"RNF217",7.58563199780322e-78,-6.44639727391391,0.006,0.164,4.7569498258224e-73,"26","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"ENSG00000249547",8.61770309054769e-71,7.61360879774706,0.147,0.003,5.40416160808245e-66,"26","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"XIST",2.41225482333096e-68,-1.29508206134945,0.17,0.414,1.51272499971084e-63,"26","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"GRIK4",1.00125338548499e-67,-6.37519853088048,0.016,0.17,6.27885998037637e-63,"26","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"B4GALNT1",1.58524492759007e-64,9.10960189932467,0.174,0.069,9.94107094091732e-60,"26","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"EFCAB10",9.61017653146517e-61,-4.74833427337747,0.01,0.144,6.02654170288181e-56,"26","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"SNTG1",1.66573335259282e-60,4.87469154115057,0.161,0.019,1.04458138541096e-55,"26","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"BANK1",2.69581789826223e-59,-0.739673346119116,0.805,0.923,1.69054740400025e-54,"26","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"RN7SKP255",3.73578299534294e-57,-2.53531527440573,0.121,0.265,2.34270951637956e-52,"26","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"TMC7",3.56486569021556e-55,4.47413071469963,0.14,0.022,2.23552727433418e-50,"26","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"MX2",7.50162271835458e-55,1.50461973201631,0.463,0.295,4.70426760668016e-50,"26","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"ADAMTS3",1.30291660688956e-54,-9.36271594322421,0.099,0.256,8.17059004180446e-50,"26","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"FAM210A",7.76467115347254e-49,-2.05792384986285,0.164,0.328,4.86922528034263e-44,"26","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"P2RY14",5.8158367291129e-48,-1.56136336761383,0.136,0.314,3.6471112128267e-43,"26","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"USP9Y",5.83383504209684e-48,0.917622448097751,0.571,0.365,3.65839795489893e-43,"26","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"ENSG00000284418",4.69634755713811e-46,-4.3416990743276,0.016,0.131,2.94507955308131e-41,"26","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"STK4",7.55621188165826e-45,0.366432149754186,0.892,0.912,4.7385004709879e-40,"26","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"SYNE2",5.24397899783512e-44,-0.661317381453324,0.835,0.913,3.2884992295424e-39,"26","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"WARS1",1.49639651851116e-43,-1.22121506204408,0.428,0.543,9.3839025675835e-39,"26","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"DMGDH",2.70015718777937e-43,5.61824505327304,0.117,0.015,1.69326857245644e-38,"26","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"UTY",8.94807188333782e-43,0.756465991765126,0.654,0.444,5.61133587804115e-38,"26","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"MIR3667HG",2.50505262207951e-42,-0.839436820269472,0.451,0.636,1.57091849930606e-37,"26","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"GBP2",5.09208392975017e-42,-0.638492338715035,0.697,0.847,3.19324583234633e-37,"26","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"SETBP1",6.46760906362547e-42,-0.735574318849954,0.525,0.713,4.05583764379953e-37,"26","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"LINC00466",1.4565145075871e-41,4.6914437654393,0.107,0.007,9.13380247707873e-37,"26","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"DISP3",1.57114918580075e-41,4.71603412321795,0.114,0.006,9.8526765441565e-37,"26","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"MTCO1P12",1.37834051167245e-40,3.35652891478602,0.123,0.009,8.64357334869791e-36,"26","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"ENSG00000285658",3.76295213621664e-40,-2.91708151081111,0.022,0.105,2.35974728462145e-35,"26","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"LINC02306",1.10446370869319e-39,-4.59138758121196,0.014,0.117,6.92609191721499e-35,"26","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"GRM7",6.49087485069532e-39,5.39250744124298,0.107,0.018,4.07042761887103e-34,"26","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"XAF1",1.94604621873321e-38,0.763056579170845,0.602,0.518,1.2203655837676e-33,"26","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"CDC42SE2",8.73507098270834e-37,-0.480966490913875,0.827,0.94,5.4777630132564e-32,"26","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"EIF2AK2",1.7777925128851e-36,0.817913760556312,0.608,0.488,1.11485368483025e-31,"26","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"RALGPS2",2.00056610891733e-36,-0.58286924652228,0.812,0.924,1.25455500690206e-31,"26","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"MYH9",7.01139338925718e-36,0.343773896354195,0.873,0.879,4.39684479440318e-31,"26","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"ADARB2",1.39369612405632e-35,1.45904357662836,0.374,0.204,8.73986839395717e-31,"26","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"TFCP2",3.6365576789707e-35,-2.37339228000332,0.386,0.484,2.28048532048253e-30,"26","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"CADPS",2.83512709900389e-34,-3.75397889510286,0.021,0.117,1.77790820378534e-29,"26","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"COL19A1",3.45212006659149e-34,-0.542167504852805,0.615,0.784,2.16482449375953e-29,"26","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"SRRM2",3.05880035580648e-33,0.300442267411184,0.889,0.917,1.91817370312624e-28,"26","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
