"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","stim","timepoint","comparison"
"PLCL1",7.76966695256286e-10,-1.85262769490113,0.377,0.75,4.87235814595217e-05,"18","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"ANXA2",1.80151423909954e-09,-1.43318605519965,0.298,0.725,0.000112972957933932,"18","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"IFI30",1.83432012603495e-09,-2.02073097459947,0.316,0.713,0.000115030215103652,"18","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"EMILIN2",4.11633161601387e-09,-1.52601594554273,0.439,0.75,0.00025813515564023,"18","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"CTXND1",7.87002855619306e-09,-6.58759755617601,0,0.175,0.000493529490758867,"18","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"PTPRK",1.03777954428263e-08,-2.39289826836749,0.14,0.5,0.00065079155221964,"18","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"STXBP5",1.03873191227929e-08,1.63301567509746,0.851,0.575,0.000651388782190343,"18","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"IL1R1",2.31801052890671e-08,-3.11715910261745,0.079,0.425,0.0014536244026774,"18","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"HTR1F",3.41552361469014e-08,1.44853248854647,0.684,0.288,0.00214187485877219,"18","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"TTYH2",3.75865252338161e-08,-1.09339348637142,0.184,0.55,0.00235705099741261,"18","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"MSI2",4.33447816813456e-08,1.06855911061442,0.807,0.6,0.00271815125923718,"18","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"GPR183",4.46586823415613e-08,-1.2748477768259,0.289,0.688,0.00280054596963931,"18","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"ENSG00000259672",4.98641898963802e-08,-5.23581134215381,0,0.162,0.003126983348402,"18","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"RASAL1",5.29839245729749e-08,-0.841684127269376,0.263,0.65,0.00332262190997126,"18","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
