"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","stim","timepoint","comparison"
"IFI44L",1.71215691710089e-164,1.62311204946279,0.684,0.377,1.07369360271397e-159,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"LINC02934",3.99819923757167e-163,7.03656730727689,0.205,0.016,2.5072707418812e-158,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"LRRC52-AS1",5.84039074734323e-157,10.2461489373191,0.157,0.002,3.66250903765894e-152,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"IL12RB2",1.0957813385885e-137,-4.87115819153322,0.016,0.16,6.87164477428846e-133,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"ZFPM2",2.48378352487291e-137,-5.21405401257857,0.036,0.162,1.5575806484478e-132,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"HFM1",5.37043496569535e-135,-3.13084835362176,0.049,0.228,3.36779976698755e-130,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"SMOC2",2.95323891357676e-130,-7.19662600189139,0.002,0.121,1.85197612270398e-125,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"LINC01091",4.03445581484607e-116,-6.22007763619205,0.009,0.161,2.53000724148997e-111,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"SLC30A10",3.35124783175505e-115,4.49535100489067,0.211,0.027,2.10156751529359e-110,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"CNTNAP5",5.52062757043527e-115,4.56638302852631,0.219,0.033,3.46198554941996e-110,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"PCLO",4.14568878738692e-113,-5.8422203038901,0.008,0.13,2.59976143857034e-108,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"APAF1",6.04934363894104e-112,3.56456400899705,0.308,0.156,3.79354339597993e-107,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"XAF1",4.14875133283593e-104,1.18245273867456,0.661,0.401,2.60168196082141e-99,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"SLFN5",5.01723437398313e-101,1.75722387864928,0.442,0.156,3.14630767592482e-96,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"ENSG00000233005",2.46526121087494e-99,4.59075372596101,0.171,0.012,1.54596530533968e-94,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"SAMD9L",5.09805931157071e-94,1.02535353630899,0.771,0.588,3.19699299428599e-89,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"ADAMTS17",3.3291910373917e-93,-4.24728370881484,0.013,0.118,2.08773569954833e-88,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"IFI44",8.59142899795698e-90,1.51600145918574,0.442,0.166,5.38768512461882e-85,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"CCSER1",1.33175319485293e-86,0.967834068377819,0.808,0.623,8.35142428492273e-82,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"HRH1",1.73784709400048e-86,-6.07129055129139,0.005,0.114,1.0898039126477e-81,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"MX1",9.88926594221994e-84,1.40127241405119,0.498,0.23,6.20155867236612e-79,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"EPSTI1",1.66667580453577e-82,0.634463156340221,0.912,0.804,1.04517239702438e-77,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"MIR4300HG",3.35069881418369e-80,4.12473953394967,0.144,0.01,2.10122322637459e-75,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"PARP14",2.79191547598856e-78,0.512348976063908,0.976,0.948,1.75081019499243e-73,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"PLCH1",8.9621479030615e-78,-4.43068220308316,0.014,0.13,5.62016295000987e-73,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"AFAP1",1.00525583610811e-77,4.3650658589201,0.135,0.008,6.30395934823396e-73,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"TEX53",1.74067985052355e-76,5.5960186785429,0.112,0.003,1.09158033426332e-71,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"NLGN1",1.1231131899611e-74,-4.65570139995104,0.016,0.125,7.04304281424607e-70,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"EPN2",2.58166727859087e-74,-2.48244803019099,0.065,0.199,1.61896355040434e-69,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"ENSG00000225689",1.55930230182104e-72,3.54329849405713,0.162,0.02,9.77838473471974e-68,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"DDX60",1.31967752421541e-71,1.41231888692154,0.438,0.198,8.27569775435486e-67,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"LINC00845",1.32344103408389e-69,4.56344739732819,0.123,0.007,8.29929872474007e-65,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"GOLGA1",1.97105584193034e-64,-1.28280258233952,0.284,0.342,1.23604911847451e-59,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"RNF213",1.07338379815912e-61,0.575842940069339,0.944,0.899,6.73118979825586e-57,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"IFIT3",2.72744275644672e-61,1.62091021944089,0.289,0.094,1.71037935256774e-56,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"INKA2",7.63593199869524e-60,-2.55007119679024,0.044,0.149,4.78849295638178e-55,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"ADARB2",1.93050082350149e-59,2.1275783642467,0.198,0.055,1.21061706641778e-54,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"ADAM28",4.29745704537539e-59,0.506134591564979,0.916,0.839,2.69493531315491e-54,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"STAT1",8.7091029723741e-57,0.595118803087148,0.826,0.683,5.4614784739758e-52,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"PDE1A",3.16799542907031e-56,-3.76484354326862,0.014,0.101,1.98664993356999e-51,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"RSAD2",2.04666830898943e-55,1.85398464000477,0.208,0.053,1.28346569656727e-50,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"EIF2AK2",1.38075277776631e-54,0.925595942875457,0.601,0.404,8.65870066937252e-50,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"HERC6",1.20961212189562e-51,1.42321267375032,0.339,0.14,7.58547761640746e-47,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"TRIO",5.21591948528907e-50,-0.337544670791057,0.953,0.969,3.27090310922478e-45,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"PARP9",6.58139721373857e-50,0.880933071951598,0.578,0.362,4.12719419273545e-45,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"MT-ND4",2.77659404192115e-49,-0.585317903402287,0.66,0.718,1.74120212368875e-44,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"EEF1A1",8.2655079153463e-48,-0.539308656653265,0.761,0.788,5.18330001371366e-43,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"NAALADL2",1.47953647932584e-45,-2.07910238625483,0.054,0.143,9.27817326185233e-41,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"YRDC",3.71145199064653e-45,2.42766541663155,0.127,0.02,2.32745154333444e-40,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"ZNF107",1.08974799783762e-42,0.652356215773053,0.698,0.514,6.83380969443968e-38,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"DDX60L",1.18949537933627e-42,1.00646245201532,0.512,0.339,7.45932552381777e-38,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"MX2",2.02824257807167e-42,1.1350897721081,0.434,0.251,1.27191092070875e-37,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"CMPK2",2.59070330904333e-42,1.77106017249512,0.159,0.038,1.62463004510107e-37,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"USP18",8.78507077024344e-42,2.07320272744979,0.146,0.032,5.50911788001966e-37,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"RNU4-2",2.71183149603996e-41,-0.259973410368297,0.696,0.507,1.70058953116666e-36,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"NLRC5",3.95962799070529e-41,0.445044476670434,0.885,0.778,2.48308271297129e-36,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"OAS3",9.45728100409336e-41,1.29842044518388,0.303,0.124,5.93066091766695e-36,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"RORA",1.14664564599596e-40,1.68057784353124,0.185,0.054,7.19061484604069e-36,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"RPL13A",1.33755059192087e-40,-0.662817890229315,0.478,0.562,8.38777976193575e-36,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"TRIM22",7.56474750347579e-40,0.583684471391546,0.746,0.605,4.74385315942967e-35,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"RPS6",1.40435446521813e-39,-0.589633029106429,0.647,0.713,8.80670685138288e-35,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"MT-ATP6",1.90441031137445e-39,-0.755363194454413,0.353,0.447,1.19425570626292e-34,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"NRIR",2.09365838590899e-39,1.85796562621699,0.15,0.034,1.31293317380353e-34,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"IFIT1",2.11988831765782e-38,2.27880860675165,0.121,0.023,1.32938196400322e-33,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"BACH2",2.60397577627279e-38,-0.360312093429164,0.99,0.991,1.63295320930067e-33,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"HERC5",3.95982196073635e-38,1.21148431581067,0.312,0.146,2.48320435157777e-33,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"AFF3",4.44199103682327e-38,-0.214715178547859,0.999,0.998,2.78557257919187e-33,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"PLSCR1",4.61820346733963e-38,0.971991563582637,0.417,0.226,2.89607539436868e-33,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"ENSG00000253853",1.47744600238832e-37,-2.05779759023498,0.038,0.113,9.26506388097713e-33,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"XRN1",3.93067436433126e-37,0.508932460913579,0.834,0.728,2.46492589387213e-32,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"STEAP1B",5.88549730050675e-37,-0.526637917449295,0.708,0.765,3.69079535714778e-32,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"LINC02018",1.52361896611821e-36,2.56357796768598,0.129,0.054,9.55461453652727e-32,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"PLCB1",1.81302939218122e-36,-1.19861707977243,0.134,0.206,1.13695073183684e-31,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"ENSG00000283907",1.13027629418371e-35,0.892506048208868,0.264,0.118,7.08796264082605e-31,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"WDFY1",1.67771249274168e-35,0.750237776007949,0.526,0.34,1.05209350419831e-30,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"RPS27A",6.94335324389947e-35,-0.945023065091048,0.226,0.324,4.35417681924936e-30,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"GBP5",8.15562419540187e-35,0.874930945604539,0.444,0.277,5.11439193293651e-30,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"GBP4",1.24745448637016e-34,0.529501401663257,0.805,0.668,7.82278708402725e-30,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"SLC9A9",5.0234567887803e-34,0.860738265268097,0.436,0.258,3.15020975224412e-29,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"MALAT1",6.54465171941696e-34,-0.156841262631525,1,1,4.10415109324637e-29,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"RPL4",2.70645929250013e-33,-0.596084667807113,0.377,0.448,1.69722062232683e-28,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"RPS8",6.53445436748965e-33,-0.645512901944729,0.44,0.535,4.09775633385276e-28,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"UGDH-AS1",7.32927122467174e-33,2.10799841749848,0.11,0.033,4.59618598499165e-28,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"EXT1",8.51936714497169e-33,-0.916575175337127,0.12,0.219,5.34249513661175e-28,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"STAT2",1.19354439215177e-32,0.526666607730102,0.74,0.623,7.48471688318376e-28,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"OAS2",1.27267432782186e-32,0.828260415581043,0.448,0.26,7.9809407097709e-28,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"MT-RNR1",1.34720580314019e-32,0.437866614268711,0.992,0.997,8.44832759149215e-28,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"GAS7",4.14468467092753e-32,-1.0858717854771,0.139,0.226,2.59913175713866e-27,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"LAP3",4.77125542460099e-32,0.965915443515899,0.346,0.176,2.99205427676728e-27,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"HS3ST3B1",1.00888185795144e-31,-1.25557771155629,0.076,0.159,6.32669813121349e-27,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"SGCE",1.10347270066771e-31,-1.02131018476216,0.127,0.215,6.91987730588722e-27,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"ZDHHC14",4.77875894761254e-31,0.441357450238024,0.749,0.596,2.99675973604783e-26,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"WDR7",6.11947933178327e-31,0.848619840077975,0.538,0.41,3.83752548896129e-26,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"CD22",2.06898870241836e-30,-0.909574224484513,0.226,0.315,1.29746281528655e-25,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"COL19A1",6.93454946016372e-30,-0.298246565962134,0.962,0.977,4.34865596646867e-25,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"NCK1-DT",7.5209911132563e-28,-1.43265308738145,0.076,0.153,4.71641352712303e-23,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"PTPRK",1.0823532667523e-27,1.14746629498066,0.232,0.113,6.78743733580369e-23,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"CLIC4",1.1008674516329e-27,-0.476923185253093,0.551,0.616,6.90353978918991e-23,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"FRMD4A",3.50381413038739e-27,-1.30638357284574,0.071,0.144,2.19724184116593e-22,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"TIAM1",8.60077978197524e-27,-1.60275429005611,0.071,0.146,5.39354900127667e-22,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"MEF2C",9.62791161758368e-27,-0.311680756815942,0.946,0.952,6.03766337538672e-22,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"NBPF26",5.30562253728091e-26,-1.61916693957268,0.056,0.115,3.32715589312886e-21,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"GBP1",1.278855564283e-25,0.668221196878306,0.426,0.265,8.01970324361868e-21,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"IGHA1",1.28808507372402e-25,1.18794588613936,0.174,0.069,8.07758149732335e-21,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"ETV6",2.95964903274484e-25,0.345412514136465,0.932,0.863,1.85599590843429e-20,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"KPNB1-DT",4.74693869045627e-25,-1.07857085663448,0.12,0.19,2.97680525278513e-20,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"LTBP3",5.72409969944742e-25,-1.46168936154808,0.049,0.104,3.58958292152348e-20,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"SYT17",7.99805427546203e-25,-1.16407109733633,0.101,0.18,5.01557983614224e-20,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"MS4A1",8.54687707249683e-25,-0.286065558275822,0.86,0.892,5.35974661216276e-20,"12","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
