"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","stim","timepoint","comparison"
"ST8SIA1",4.35301982274039e-92,1.95702547963739,0.789,0.492,2.7297787308405e-87,"28","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"HFM1",6.85912715066655e-65,-3.30471512167836,0.055,0.234,4.301358636183e-60,"28","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"IFI44L",6.07044858730247e-54,2.26677459673322,0.453,0.131,3.80677830909738e-49,"28","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"LINC00871",7.93394125199472e-54,-6.33568950706298,0.011,0.151,4.97537455912589e-49,"28","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"LINC02934",3.37254849013143e-51,6.74952087410463,0.215,0.02,2.11492515816142e-46,"28","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"PARP14",1.18813915788374e-49,0.984000743129744,0.872,0.669,7.45082065908892e-45,"28","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"BDNF-AS",2.31513084495998e-45,-4.41322014868015,0.032,0.164,1.4518185528744e-40,"28","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"LINC01091",1.04347315346007e-43,-5.94097218086921,0.012,0.133,6.54362014534807e-39,"28","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"RNU4-2",2.49810050056926e-43,1.24624566490562,0.762,0.44,1.56655882390698e-38,"28","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"XAF1",2.89117039283344e-41,1.22044510451744,0.73,0.452,1.81305295334585e-36,"28","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"EPSTI1",3.64189327749499e-40,1.19426829766162,0.715,0.429,2.28383127431711e-35,"28","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"ENSG00000253452",5.43309608221285e-40,-4.25605961445302,0.027,0.155,3.40709455315568e-35,"28","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"ENSG00000274767",1.01882021600925e-39,-1.13590465978913,0.447,0.605,6.38902157459399e-35,"28","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"TRBC2",1.17643952955264e-39,-0.851895465014823,0.696,0.796,7.37745228982459e-35,"28","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"ZNF805",2.21578739029928e-37,-2.55623014408084,0.107,0.206,1.38952027245668e-32,"28","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"PRKY",9.23463391280471e-35,0.88764163922472,0.653,0.33,5.79103892671983e-30,"28","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"CNTNAP5",9.77229685079414e-35,4.33366757878107,0.223,0.037,6.12820735513301e-30,"28","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"ENSG00000233005",2.32456664404579e-34,5.14508576583001,0.172,0.01,1.45773574248111e-29,"28","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"ENSG00000251652",3.0799702709431e-34,-3.37896766940078,0.024,0.152,1.93144935690842e-29,"28","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"UTY",5.55951030713445e-34,0.890987318733569,0.659,0.339,3.48636891360401e-29,"28","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"SLC30A10",2.00148574139761e-33,4.06983025796031,0.211,0.036,1.25513170843044e-28,"28","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"LRRC52-AS1",2.60640566454427e-33,9.2988004493547,0.105,0.003,1.63447699223571e-28,"28","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"CYP1B1-AS1",3.88922783017272e-33,-3.52103448926805,0.035,0.147,2.43893477230131e-28,"28","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
