"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","stim","timepoint","comparison"
"TMEM63C",4.23616180485327e-15,-6.02595826691602,0.014,0.218,2.65649706782349e-10,"14","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"PAPPA2",7.85586564257081e-15,-6.85481961060873,0.006,0.203,4.92641334445616e-10,"14","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"SNHG22",2.54834036259389e-11,1.29103477663348,0.766,0.617,1.59806424138263e-06,"14","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"PPP1R36",5.8544114906548e-10,8.31048828127648,0.163,0,3.67130144578962e-05,"14","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"SRPRB",1.18807107031067e-09,-4.542009849399,0.066,0.211,7.4503936819182e-05,"14","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"STEAP1B",3.40536575582575e-09,-1.10648196130102,0.499,0.789,0.000213550486547833,"14","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"WWC1",7.7217796854837e-09,-4.68670342910638,0.006,0.135,0.000484232804076683,"14","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"ENSG00000286379",1.05678532187949e-08,-5.51324950303765,0.003,0.12,0.000662710075350631,"14","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"FSTL4",2.94706559767006e-08,-1.86355328902363,0.014,0.143,0.00184810483629889,"14","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"TPT1",4.83536447793956e-08,-0.825167598954479,0.545,0.82,0.0030322570641159,"14","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"MT-CO1",2.7930926557019e-07,-0.729569585983281,0.667,0.895,0.0175154840439066,"14","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"MT-RNR2",2.8290727389595e-07,-0.374015366729239,0.904,1,0.017741115146015,"14","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"RPL18A",4.53784514607475e-07,-2.9351226934655,0.028,0.165,0.0284568269110348,"14","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"ESRRB",4.63844587648566e-07,-4.41393910469438,0.008,0.113,0.0290876940914415,"14","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"MT-ATP6",4.74362792198865e-07,-1.23427462401127,0.267,0.511,0.0297472906987908,"14","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"7SK",5.54462241167229e-07,-1.49807823433637,0.686,0.827,0.0347703271435969,"14","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"DIP2A",9.83153305888513e-07,0.745159741920645,0.747,0.714,0.0616535438122686,"14","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"ANKRD36",1.43763293954323e-06,0.764579487246172,0.708,0.654,0.0901539616387557,"14","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"RPLP1",2.3470760670169e-06,-1.04535378976302,0.309,0.549,0.14718514016263,"14","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"BCL9",3.99848684534967e-06,5.19953346008099,0.157,0.03,0.250745110071878,"14","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"CCL5",1.5441527213576e-05,-0.582416845490686,0.551,0.782,0.968338171563349,"14","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"MT-ND1",1.77238402395684e-05,-1.20547496758287,0.267,0.466,1,"14","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"AKNA",2.55953925062537e-05,0.417683129082812,0.95,0.947,1,"14","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"RNU4-1",2.9888206992314e-05,-1.78369098089345,0.19,0.188,1,"14","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"SMCHD1",3.23402261077049e-05,0.427797845503491,0.942,0.925,1,"14","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"PFN1",3.2505026893362e-05,-1.09122319695795,0.253,0.451,1,"14","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"PPP6R3",3.64546023380575e-05,0.369440147977406,0.807,0.842,1,"14","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"UBR2",3.80700236203331e-05,0.346626254125995,0.766,0.835,1,"14","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"SIPA1L2",3.949240140367e-05,1.74860007014066,0.331,0.15,1,"14","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"BCAS1",4.32081462755246e-05,5.1526506356983,0.113,0.008,1,"14","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"ANK3",4.49032034463576e-05,-0.615774487696527,0.697,0.887,1,"14","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"MRPS6",4.51156653355782e-05,-0.870345846310872,0.477,0.692,1,"14","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
