"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","stim","timepoint","comparison"
"SMOC2",3.51804144378445e-81,-9.29824982405015,0,0.533,2.20616378939723e-76,"2","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"ENSG00000270321",5.52661974325581e-58,-7.82684217958972,0,0.412,3.46574324099572e-53,"2","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"IL12RB2",1.61044649335294e-54,-3.32808087544872,0.106,0.608,1.00991099598163e-49,"2","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"FAM3B",9.62817242152874e-52,-7.70000709853707,0,0.375,6.03782692554067e-47,"2","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"RMRP",6.74832471138791e-47,-3.71963857170083,0.05,0.489,4.23187442651136e-42,"2","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"EGFLAM",3.15181592301732e-43,-5.49247794430753,0.02,0.395,1.97650376532416e-38,"2","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"CDH4",8.33697533610011e-43,-3.95497510229619,0.037,0.443,5.22811723326838e-38,"2","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"ENSG00000283907",4.24268289442476e-42,3.49070994745065,0.385,0.082,2.66058644309377e-37,"2","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"PPP1R9A",8.30759873146919e-40,-2.14882347558381,0.08,0.492,5.20969516450433e-35,"2","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"ENSG00000253369",1.35010533077109e-39,-7.1057456232555,0,0.297,8.4665105292655e-35,"2","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"RNU4-2",3.17692478228455e-35,-1.06591773466067,0.767,0.965,1.99224953097064e-30,"2","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"ZFPM2",7.76094173537207e-35,-6.52393930688702,0.06,0.339,4.86688656225182e-30,"2","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"PCLO",1.44092574085047e-33,-6.98433715942096,0.013,0.31,9.03604532087331e-29,"2","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"RERG",5.42093040733151e-33,-6.18209842459422,0.003,0.281,3.39946545843759e-28,"2","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"USP9Y",5.62055239427576e-33,2.02516362935315,0.359,0.099,3.52464840645033e-28,"2","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"GOLGA1",1.95535089671804e-31,-2.33142398685186,0.392,0.752,1.22620054733188e-26,"2","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"ADAMTS17",5.10021263761729e-30,-1.64898473528006,0.199,0.614,3.1983433450498e-25,"2","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"UTY",8.70491570483893e-30,1.77285887771208,0.382,0.126,5.45885263850449e-25,"2","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"RNU4-1",1.42295721604141e-29,-0.732195390621708,0.289,0.69,8.92336470179569e-25,"2","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"B4GALNT3",1.54698747430066e-29,-5.93769293219794,0.01,0.276,9.70115845133945e-25,"2","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"MT-RNR2",8.59583877964994e-28,-0.420940336409583,0.963,1,5.39045049871847e-23,"2","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"MDGA2",3.20874701768093e-27,-5.27284443130844,0.037,0.328,2.01220525478771e-22,"2","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"PRKY",1.86671761036212e-26,1.54658897241712,0.336,0.109,1.17061861345808e-21,"2","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"ADAMTS3",2.5716266863712e-26,1.75403126132996,0.219,0.448,1.61266709502338e-21,"2","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"GSG1L",3.37572738150265e-26,5.96763036198838,0.216,0.014,2.11691864094031e-21,"2","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
