"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","stim","timepoint","comparison"
"C4orf45",1.83583151915831e-39,-6.49504160629333,0.01,0.171,1.15124994566417e-34,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"PPP1R36",1.14616371869837e-38,8.28832596558605,0.161,0.003,7.1875926799575e-34,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"ELMO2P1",1.25209663740157e-38,-7.42636513669351,0.003,0.155,7.85189801314527e-34,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"ENSG00000267098",2.95806002156784e-36,-5.98006851847679,0.004,0.153,1.85499943952519e-31,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"MT-RNR2",3.62885786899291e-32,-0.355708117282053,0.955,1,2.27565676964545e-27,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"USP9Y",1.40659465059549e-31,1.42164421024067,0.484,0.209,8.82075505388429e-27,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"TMEM63C",1.84003342761021e-26,-5.05839384147251,0.023,0.161,1.15388496245436e-21,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"UTY",2.2341217160355e-26,1.12320347060867,0.532,0.274,1.40101772812587e-21,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"IGHM",2.68944098087232e-26,-0.59404183232143,0.905,0.979,1.68654843910503e-21,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"LINC00278",2.29493483779836e-25,1.92001348495388,0.305,0.097,1.43915363678335e-20,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"CHST8",2.58252272237824e-24,-4.94599899278503,0.003,0.109,1.6194999992034e-19,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"XIST",3.01305179749013e-24,-0.689221946868894,0.327,0.58,1.88948478220606e-19,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"SRPRB",5.01662503215119e-24,-4.95622327845017,0.063,0.186,3.14592555766201e-19,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"LINC02641",2.3081256566355e-22,-4.8447417205809,0.005,0.106,1.44742559927612e-17,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"PAPPA2",3.9986622376171e-22,-5.02185056427529,0.01,0.123,2.50756108920968e-17,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"BCAS1",8.17119359695711e-21,6.12278818091341,0.103,0.006,5.1241555046518e-16,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"VPS37B",3.18284677943089e-17,0.782627386806952,0.624,0.525,1.99596321538111e-12,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"BCL9",3.98616107391178e-17,3.00536956623895,0.162,0.078,2.49972160945008e-12,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"XAF1",6.93300665665268e-17,1.16309597707669,0.462,0.309,4.3476884743869e-12,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"MT-ND4",1.43764898144184e-16,-0.6981373426396,0.659,0.813,9.01549676262178e-12,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"COL19A1",1.57902308980998e-16,-0.65748856091889,0.696,0.843,9.90205379619838e-12,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"PHKB",2.81235035078558e-16,0.386449836150204,0.889,0.883,1.76362490497764e-11,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"MYO3A",7.80201598213022e-16,-3.43645643322876,0.015,0.109,4.89264422239386e-11,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"ENSG00000243276",1.15534325750286e-15,3.9557949992802,0.109,0.014,7.24515756780043e-11,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"SLC7A10",4.46858206802615e-15,-2.64246937343865,0.023,0.123,2.8022478148592e-10,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"EEF2",1.58400736522628e-14,-0.60867169116866,0.599,0.774,9.93331018733399e-10,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"RPS6",9.26763699195812e-14,-0.736915252603252,0.588,0.744,5.81173515765693e-09,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"MT-CO1",1.07043551273299e-13,-0.497482070431586,0.699,0.866,6.7127011003486e-09,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"TRIO",1.21913018372237e-13,-0.422875985102456,0.902,0.959,7.64516538212296e-09,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"B4GALNT1",2.74540689000395e-13,2.88545007376678,0.158,0.06,1.72164466072147e-08,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"LOXL2",3.40059903191673e-13,1.69746289074548,0.234,0.118,2.13251565291498e-08,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"ADARB2",9.0244658443702e-13,1.34436623228257,0.349,0.207,5.65924253100455e-08,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"MALAT1",2.51730246586143e-12,-0.150708757054955,1,1,1.5786003763417e-07,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"STEAP1B",4.34454228932111e-12,-0.628180924761997,0.577,0.749,2.72446246963327e-07,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"USP34",5.41225937388271e-12,0.29721153382873,0.941,0.951,3.39402785336185e-07,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"DPH6",8.27681538358601e-12,-1.36499220829391,0.161,0.265,5.19039092704679e-07,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"TXLNGY",1.27723983232621e-11,1.13266381520855,0.223,0.09,8.00957098851765e-07,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"RACK1",1.33561259665132e-11,-0.822844758526975,0.402,0.557,8.3756265936004e-07,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"MIR4422HG",1.37410960651701e-11,1.01935805203523,0.412,0.278,8.61704134246816e-07,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"MEF2C",1.45070922870187e-11,-0.475487290068017,0.799,0.898,9.09739757318943e-07,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"VAV2",2.67378957081039e-11,-0.66162389074693,0.409,0.573,1.67673343985519e-06,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"RNU4-1",2.94505162016516e-11,-1.31192183604922,0.258,0.3,1.84684187100557e-06,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"TTTY10",3.22960772084805e-11,1.80503342661212,0.121,0.029,2.02528700174381e-06,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"AKAP13",3.76752636015754e-11,0.400600792948119,0.868,0.843,2.36261578045479e-06,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"SORL1",7.28050351902619e-11,0.442710607312963,0.839,0.765,4.56560375678132e-06,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"HFM1",8.08231937957728e-11,-1.74021762611258,0.071,0.139,5.06842248293291e-06,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"STAT4",9.73754912302855e-11,0.88163645313595,0.382,0.264,6.1064170550512e-06,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"GMDS",1.09008136063743e-10,0.84975429783536,0.555,0.5,6.83590021255732e-06,"26","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
