"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","stim","timepoint","comparison"
"RNU4-2",8.59889555800766e-47,2.19099154167718,0.755,0.505,5.39236740442661e-42,"5","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"ACER1",3.80020364053446e-35,-5.81563041730368,0.015,0.209,2.38310770297916e-30,"5","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"MT-RNR1",8.16597968531842e-32,0.624435201920717,0.985,1,5.12088586066318e-27,"5","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"ENSG00000233290",5.89749525873478e-31,7.88634487060684,0.151,0.019,3.69831927675258e-26,"5","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"ENSG00000231877",4.25573592294575e-29,7.84860990301427,0.146,0,2.66877199727928e-24,"5","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"WLS",5.2548905212721e-29,6.96818012572412,0.163,0.005,3.29534184588973e-24,"5","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"ENSG00000237188",1.612321985746e-26,-3.3791068716543,0.059,0.25,1.01108711726132e-21,"5","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"RNU4-1",2.41623311034005e-26,2.36487142667501,0.315,0.086,1.51521978349424e-21,"5","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"NFIA",2.83467032837169e-24,-2.75505030325161,0.104,0.284,1.77762176292189e-19,"5","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"ADAMTS12",7.17028804279542e-24,5.00597210777149,0.16,0.01,4.49648763163701e-19,"5","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"DAPL1",3.19855998784477e-23,5.84204099125633,0.137,0.003,2.00581696837745e-18,"5","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"MEOX1",2.13549490963521e-22,7.37034073866053,0.113,0,1.33916885783224e-17,"5","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"AKAP6",1.27218809627468e-21,3.95200920697933,0.17,0.019,7.9778915517385e-17,"5","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"ENSG00000287472",2.58843267337344e-20,7.13788754295063,0.102,0,1.62320612947248e-15,"5","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
