"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","stim","timepoint","comparison"
"LINC00278",2.47383679191623e-50,2.41860339402021,0.451,0.097,1.55134305221066e-45,"26","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"ZFPM2",8.06651002924622e-49,-5.44186224890388,0.034,0.191,5.05850843934031e-44,"26","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"LINC02934",1.53268543778242e-48,7.39465746598862,0.222,0.012,9.61147038033354e-44,"26","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"SMOC2",1.27193327603333e-46,-6.98488565010442,0.002,0.145,7.976293574005e-42,"26","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"UTY",6.75902339901724e-40,1.33447568194512,0.617,0.256,4.23858357352371e-35,"26","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"B4GALNT3",2.4361544854508e-36,-5.39595040039482,0.008,0.128,1.5277124778262e-31,"26","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"SLC30A10",4.79547568336145e-36,4.41380550396875,0.249,0.035,3.00724280103597e-31,"26","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"USP9Y",1.12527131992742e-34,1.33867766266233,0.559,0.216,7.05657644726487e-30,"26","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"IL12RB2",1.59182258380574e-33,-2.93423939837557,0.051,0.199,9.98231942304582e-29,"26","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"ENSG00000233005",2.03498472586552e-33,5.13430661788427,0.194,0.01,1.27613892159027e-28,"26","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"PCLO",1.2176887491128e-32,-4.87319167420703,0.013,0.134,7.6361261456864e-28,"26","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"IFI44L",2.28450671089092e-31,1.18997105920141,0.735,0.434,1.4326141583997e-26,"26","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"CNTNAP5",8.79185086386599e-31,4.39238916575837,0.227,0.04,5.51336967673036e-26,"26","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"TEX53",1.76115626361248e-30,7.86151562685447,0.135,0,1.10442109291138e-25,"26","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"LRRC52-AS1",2.67485854239221e-30,11.5140352942297,0.108,0,1.67740379193416e-25,"26","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"ADAMTS17",1.90431039586313e-29,-3.51451110308095,0.024,0.138,1.19419304924577e-24,"26","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"XIST",5.94291596906574e-29,-0.93123651666606,0.276,0.537,3.72680260420113e-24,"26","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"MX1",3.86180424043218e-28,1.36957310166731,0.57,0.253,2.42173743917502e-23,"26","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"HFM1",1.21739938019259e-27,-2.5315402905678,0.06,0.208,7.63431151318771e-23,"26","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"LINC00845",2.66022656770659e-25,5.76194295848562,0.135,0.002,1.6682280806088e-20,"26","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"RPS6",2.65659543595488e-24,-0.822021019401183,0.65,0.727,1.6659509978873e-19,"26","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"PARP14",3.70007511987744e-24,0.489159499867677,0.989,0.955,2.32031710767514e-19,"26","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"MIR4300HG",6.01250486856851e-24,4.08724047401998,0.15,0.009,3.77044180307931e-19,"26","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"AFAP1",1.98063438811788e-23,4.52023694127641,0.144,0.008,1.24205582478872e-18,"26","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"CCDC153",5.37614103186548e-23,5.66307819807613,0.117,0.002,3.37137804108284e-18,"26","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
