"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","stim","timepoint","comparison"
"ST8SIA1",1.30765862517178e-63,1.75059172082685,0.684,0.468,8.20032723845224e-59,"28","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"SRPRB",8.8770340506281e-60,-5.08023665878317,0.052,0.192,5.56678805314888e-55,"28","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"TMEM63C",4.33061916597165e-54,-3.92358558800466,0.055,0.217,2.71573127898082e-49,"28","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"PAPPA2",7.60291726755739e-51,-5.31917128460985,0.012,0.155,4.76778941848524e-46,"28","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"ENSG00000251652",3.93503306419989e-49,-3.64499788452335,0.019,0.187,2.46765923455975e-44,"28","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"TRBC2",9.54166692107216e-49,-0.929362205387694,0.68,0.859,5.98357932620435e-44,"28","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"UTY",9.98194232657378e-46,1.19442098001272,0.653,0.35,6.25967603299441e-41,"28","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"XIST",1.44670947921378e-43,-1.05411247923711,0.215,0.501,9.07231514414959e-39,"28","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"ENSG00000274767",3.30940396027601e-43,-1.20168420856697,0.45,0.648,2.07532722348909e-38,"28","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"ENSG00000265749",1.79971928280139e-41,-5.27786456660816,0.007,0.132,1.12860396224475e-36,"28","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"PRKY",5.39994433287972e-35,0.951747802088066,0.647,0.378,3.38630509114887e-30,"28","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"PPP1R36",6.14056460732638e-33,6.74701259800032,0.133,0.007,3.85074806525437e-28,"28","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"MT-RNR2",2.02757444338409e-30,-0.273824873976537,0.947,0.999,1.27149193344616e-25,"28","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"HLA-A",4.81495212207988e-29,-0.505794712211753,0.875,0.962,3.01945647575629e-24,"28","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"RAB38",2.3529474675537e-28,-3.41620802803016,0.043,0.161,1.47553335690293e-23,"28","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"ENSG00000235140",9.6023112588163e-27,9.82589113195565,0.1,0,6.0216093904037e-22,"28","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"LINC00278",3.26056404490698e-25,1.45004130850845,0.341,0.133,2.04469971256117e-20,"28","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"ANK3",1.00875595759305e-23,-1.82741767244448,0.181,0.282,6.32590861006602e-19,"28","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
