"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","stim","timepoint","comparison"
"ENSG00000233290",3.3434674454447e-14,8.7152189528378,0.275,0.017,2.09668843503837e-09,"14","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"RNU4-2",4.5300743824068e-12,2.35332487203799,0.709,0.413,2.8408096452073e-07,"14","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"ACER1",2.89514887691953e-11,-6.55800145606368,0.005,0.231,1.81554786071624e-06,"14","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"ENSG00000237188",7.01761603970235e-09,-4.06454483410633,0.027,0.248,0.000440074701849735,"14","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"ANKRD30BL",7.94458020601491e-09,4.27180218802287,0.258,0.025,0.000498204624719195,"14","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"ENSG00000215237",3.5895124889667e-07,5.6873060112392,0.137,0,0.0225098328183102,"14","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"ENSG00000289439",4.34128427996873e-07,-2.16947804716717,0.11,0.347,0.0272241937196839,"14","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"B2M",6.22630250530123e-07,-0.486403144544632,0.94,0.992,0.039045143010744,"14","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"ENSG00000240086",1.06536418025061e-06,-6.63348658916274,0,0.107,0.0668089877435158,"14","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"CARMIL1",4.94177161425692e-06,2.07604476221916,0.231,0.041,0.309898497930051,"14","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"NFIA",5.43527826837901e-06,-3.4597041723884,0.055,0.223,0.340846300210047,"14","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"TNFAIP3",9.51356997574207e-06,0.655595666246225,0.973,0.95,0.596595973178785,"14","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"RNU4-1",1.86879528972739e-05,1.81428564430026,0.33,0.107,1,"14","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"CPSF4",2.16397359093286e-05,3.81914645983922,0.148,0.008,1,"14","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"TOB1-AS1",2.30584351376913e-05,4.33776697135241,0.143,0.008,1,"14","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"ENSG00000274767",3.89066083959625e-05,-1.13657161644491,0.275,0.512,1,"14","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"NRG1",3.98444272152672e-05,-3.4626332558365,0.011,0.132,1,"14","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"CBR4",4.64387789057273e-05,-1.65805890832838,0.275,0.471,1,"14","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"7SK",5.84801349003473e-05,-1.86267345019718,0.824,0.793,1,"14","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"DIP2A",0.000110290788559471,0.826676938904616,0.775,0.702,1,"14","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"RNF38",0.000156100979511456,0.621814216002045,0.725,0.711,1,"14","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"ARID5B",0.000207933920182112,0.717275262473164,0.758,0.537,1,"14","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"P2RY8",0.000220272979458082,0.574937188764089,0.918,0.876,1,"14","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"CXCR4",0.000231739288967517,0.672340276192953,0.791,0.686,1,"14","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"RPS6",0.000237548101055304,-0.787643287472498,0.582,0.702,1,"14","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
