"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","stim","timepoint","comparison"
"NRG1",7.37732254460666e-95,-5.0927550046148,0.162,0.518,4.62631896772284e-90,"2","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"ST6GALNAC1",1.06735371962857e-80,-3.7674129589792,0.209,0.475,6.69337517579077e-76,"2","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"ADAM11",8.65413394652248e-56,-6.57605156803938,0.017,0.344,5.42700739786425e-51,"2","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"LINC02238",1.11870795980493e-53,10.6696911109955,0.38,0.003,7.01541761593673e-49,"2","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"SPC25",2.47218258558802e-52,-3.53444147614175,0.023,0.331,1.55030569942225e-47,"2","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"RNF217",6.39797860360015e-52,7.27884837032578,0.39,0.018,4.01217238231765e-47,"2","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"ABCA5",3.25496522269254e-51,-1.75312354407962,0.424,0.644,2.04118869115049e-46,"2","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"ZNF395",3.84475103404984e-50,-1.19113441429038,0.674,0.66,2.41104337345265e-45,"2","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"ENSG00000205037",6.88558219040481e-50,8.02855711714692,0.375,0.006,4.31794859160286e-45,"2","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"NPSR1-AS1",4.99172598280401e-44,-4.84400134796771,0.047,0.322,3.1303113638164e-39,"2","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"ARL17A",3.22281881623308e-42,-1.61566397531167,0.369,0.439,2.02102967965977e-37,"2","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"ENSG00000286100",7.96157046735416e-41,-5.55561592256348,0.025,0.276,4.99270084007779e-36,"2","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"RMRP",7.28821940328635e-39,1.51573725172264,0.504,0.086,4.57044238780087e-34,"2","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"MT-RNR1",5.07961896090221e-38,0.978579957305686,0.996,0.982,3.18542905038178e-33,"2","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"MIR3667HG",9.42448402093578e-38,-0.990432013683684,0.768,0.828,5.91009392952883e-33,"2","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"IL12A-AS1",1.67564961021489e-36,-4.03065097227171,0.05,0.288,1.05079987056576e-31,"2","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"COL4A6",2.29179194699522e-36,-5.3583781553652,0.012,0.245,1.4371827299607e-31,"2","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"ENSG00000251199",2.5227156543483e-35,10.3785798640521,0.253,0.018,1.58199498684182e-30,"2","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"CYP24A1",6.01477279433993e-35,7.25564063579582,0.254,0,3.77186401933057e-30,"2","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"HMBOX1",1.45588566950265e-34,-0.705298286392528,0.875,0.77,9.12985903345109e-30,"2","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"LTBP3",1.82458849994236e-34,-1.20114810981223,0.485,0.537,1.14419944831385e-29,"2","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"MTCO1P12",3.66016420978801e-34,3.98559916245749,0.319,0.015,2.29528897595806e-29,"2","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"XGY1",2.04197686646903e-33,-6.00967348755683,0.006,0.212,1.28052369296273e-28,"2","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"FRMPD1",6.21615674217558e-33,-5.49223116008769,0.011,0.206,3.8981518930183e-28,"2","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"HFM1",4.63069247271162e-32,3.43405355792212,0.54,0.138,2.90390724963746e-27,"2","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
