"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","stim","timepoint","comparison"
"XIST",1.34054437170469e-75,-3.64539437192002,0.04,0.437,8.40655375496012e-71,"6","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"UTY",1.30842452110518e-52,1.10944649957038,0.841,0.366,8.2051301718506e-48,"6","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"PRKY",3.43015797991721e-50,0.891947693761658,0.842,0.379,2.15105206920608e-45,"6","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"PARP14",3.78091591555385e-44,1.24161829817748,0.94,0.689,2.37101237064382e-39,"6","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"IFI44L",6.3756702098907e-44,2.42427144105101,0.617,0.189,3.99818278862246e-39,"6","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"RNU4-2",5.85806809769266e-40,2.32597766167659,0.81,0.427,3.67359450406307e-35,"6","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"USP9Y",3.82153224790795e-39,1.2104756159281,0.733,0.295,2.39648287266308e-34,"6","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"ZNF805",7.18612608526165e-36,-2.67353812408913,0.124,0.22,4.50641966806758e-31,"6","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"RNF213",7.48021657531399e-34,0.67841948089626,0.996,0.957,4.6908438143794e-29,"6","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"CD38",5.47312917549231e-33,1.61480641097998,0.661,0.26,3.43219930595123e-28,"6","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"BDNF-AS",4.2270111184416e-32,-5.11728048133762,0.022,0.167,2.65075867237473e-27,"6","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"HFM1",1.43076010628986e-31,-2.83009034588365,0.055,0.21,8.97229662654368e-27,"6","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"SLC25A21",3.715261133376e-31,-4.47495245957799,0.028,0.154,2.32984025674009e-26,"6","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"XAF1",4.848215554161e-30,1.19410244365069,0.832,0.518,3.04031597401436e-25,"6","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"JDP2",1.14990863594268e-29,8.16388258846225,0.156,0,7.21107705599656e-25,"6","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"EPSTI1",8.52704212724819e-29,1.27095968330815,0.822,0.497,5.34730811799734e-24,"6","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"IFI44",2.99651479311333e-28,2.03277602466531,0.518,0.159,1.87911442676137e-23,"6","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"LINC00871",3.67670829517104e-28,-6.17849715327248,0.014,0.149,2.30566377190176e-23,"6","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"OXR1",2.66548888447837e-27,7.39650215559332,0.515,0.323,1.67152807945639e-22,"6","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"CYP1B1-AS1",3.11656801795006e-27,-4.97704815727908,0.013,0.139,1.95439980405648e-22,"6","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"STAT1",3.1757347419321e-26,1.08883287760266,0.862,0.588,1.99150325666562e-21,"6","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"ENSG00000251652",6.46454034345453e-26,-3.53762697876109,0.025,0.177,4.05391324938034e-21,"6","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"SGCD",1.91816956982718e-25,-2.34765176317999,0.126,0.318,1.20288413723862e-20,"6","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"ST8SIA1",3.34714318732842e-25,1.72232401601895,0.614,0.308,2.09899349277365e-20,"6","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"MX1",8.31743259315381e-25,1.68391924322171,0.574,0.217,5.21586197916676e-20,"6","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"RPS3",9.29350529351146e-25,-1.139463460935,0.373,0.47,5.82795716956104e-20,"6","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"C19orf12",2.72573514800569e-24,-1.70601311529203,0.185,0.263,1.70930851131437e-19,"6","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
