"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","stim","timepoint","comparison"
"ENSG00000229642",1.80514852797194e-14,-8.49663245122656,0.003,0.151,1.1320086418912e-09,"13","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"ENSG00000259103",5.51921234842273e-14,-8.81801910936878,0,0.133,3.46109806369589e-09,"13","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"SAMD4A",6.07020917669994e-14,5.00782928029059,0.217,0.029,3.80662817470853e-09,"13","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"ENSG00000260990",1.19595697977673e-12,7.04493474887456,0.142,0,7.4998462201799e-08,"13","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"HLA-H",5.50782765826893e-12,1.65395351617851,0.447,0.245,3.45395872450045e-07,"13","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"CDH12",2.18346458275735e-11,4.12876566397631,0.181,0.022,1.36925063984713e-06,"13","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"ENSG00000250137",2.27715023874072e-11,6.35430940035881,0.12,0,1.42800091471431e-06,"13","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"ERC2",2.33163752073434e-11,5.32681037061381,0.165,0.025,1.4621698892525e-06,"13","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"FBLIM1",5.65162704073674e-11,6.83959615666697,0.107,0,3.54413531724601e-06,"13","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"PLCD1",1.18327583870877e-10,3.59466455772489,0.172,0.014,7.42032278454271e-06,"13","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"ENSG00000233635",1.62681442991475e-10,5.08549592627585,0.129,0.004,1.02017532899954e-05,"13","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"ADAMTS3",1.31833891991454e-09,-9.267845792457,0.139,0.273,8.26730336678409e-05,"13","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"PKHD1",5.00350838092227e-09,-6.22855829715924,0.003,0.101,0.000313770010567636,"13","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"PARP14",1.13534999531292e-08,0.539231853178973,0.858,0.835,0.000711977982060729,"13","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"GALNT16-AS1",2.14291758187185e-08,-5.28152304765034,0.01,0.119,0.00134382361559184,"13","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"ENSG00000285834",4.3556412523076e-08,5.45701805715241,0.1,0.004,0.0027314226293221,"13","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"CCDC144A",7.66790048878442e-08,3.23529267391982,0.149,0.014,0.00480854039651671,"13","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"CCDC144BP",9.55194576314947e-08,2.56147162005973,0.246,0.112,0.00599002518807103,"13","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"ENSG00000285658",9.96023126891817e-08,-3.44696065964249,0.019,0.115,0.00624606102873858,"13","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"PLD1",1.73581931878373e-07,-1.96561181836797,0.032,0.155,0.0108853229480928,"13","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"XACT",3.06880693038171e-07,3.89938673616002,0.1,0.004,0.0192444882604237,"13","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
