"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","stim","timepoint","comparison"
"ENSG00000265781",2.31790649934945e-151,-10.9958974585607,0.001,0.198,1.45355916574204e-146,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"LTBP3",4.05335678391355e-86,-1.43046568314695,0.293,0.523,2.54186003919219e-81,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"ENSG00000283982",1.03832380549258e-83,-8.01975157149955,0.003,0.129,6.51132858424396e-79,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"DCLRE1A",2.09481731697689e-83,-4.66946771646233,0.018,0.163,1.31365993947621e-78,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"TFCP2",1.93606630010805e-82,-2.7210342176408,0.487,0.615,1.21410717679776e-77,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"CD5L",7.65774803802787e-81,-6.92336568597601,0.002,0.123,4.80217379464728e-76,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"LINC02899",5.1873427620026e-77,-2.43560678559382,0.028,0.184,3.25298264605183e-72,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"ENSG00000283907",1.05840112335146e-73,4.02026945634302,0.231,0.055,6.637233444537e-69,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"PRDM14",3.40641983547655e-73,-6.19332077514243,0.003,0.117,2.13616587882735e-68,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"ENSG00000259103",1.28207249503239e-72,-7.12791327000717,0.007,0.114,8.03987661634815e-68,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"CYP2C23P",3.90348836589287e-71,-7.63862777695112,0.002,0.111,2.44787755425142e-66,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"ENSG00000229642",1.02770741507098e-70,-8.41214197484968,0.003,0.108,6.44475319991009e-66,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"ENSG00000285658",8.49904562605321e-69,-3.80257674295779,0.019,0.152,5.32975151209797e-64,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"ANK3",6.07876823888774e-67,-1.53907265081045,0.368,0.565,3.8119955626065e-62,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"ENSG00000287596",7.37131584149825e-67,-6.16146725995871,0.004,0.114,4.62255216420355e-62,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"IQSEC3",1.58434043491715e-63,-2.28423606606339,0.058,0.231,9.93539886736544e-59,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"ERC2",2.11265110138515e-62,5.49988566717437,0.136,0.028,1.32484350567863e-57,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"RALYL",6.45136912762445e-59,-4.32688034833339,0.014,0.127,4.04565357993329e-54,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"SLCO5A1",5.82579539651712e-56,-2.01059428558627,0.097,0.259,3.65335629315588e-51,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"ENSG00000274767",5.82746554088434e-56,-2.01707603824249,0.024,0.152,3.65440364068857e-51,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"GRIK4",9.6133755711266e-56,-5.82362924002542,0.011,0.117,6.02854782065349e-51,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"MTCO1P12",1.3504600622294e-55,3.67994812952738,0.12,0.009,8.46873505024059e-51,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"RBFOX1",1.70927907937639e-55,-2.57205483102211,0.096,0.248,1.07188891067693e-50,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"RNF217",2.92771534528842e-50,-5.68513660686887,0.011,0.107,1.83597029303037e-45,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"MT-RNR1",3.4225155968074e-50,0.439428509672044,0.989,0.998,2.14625953075792e-45,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"SAMD4A",2.88755627454452e-49,4.5821579928527,0.115,0.021,1.81078653976687e-44,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"NRXN3",5.45162699222787e-49,4.36082264112151,0.129,0.042,3.4187152868261e-44,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"XAF1",9.02821689807691e-49,1.32413380535101,0.466,0.289,5.66159481678403e-44,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"MT-ND5",1.80742978351726e-48,0.503183714554234,0.928,0.899,1.13343921724367e-43,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"IFI44L",3.96349348332471e-47,1.62768077819652,0.366,0.185,2.48550676339293e-42,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"NBPF26",5.25933442477181e-43,-2.10227362525669,0.05,0.172,3.2981286177744e-38,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"GRM7",1.1063722807222e-42,5.97502832252831,0.114,0.022,6.93806057240889e-38,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"MIR3667HG",4.70495802516471e-41,-0.751259058211823,0.47,0.653,2.95047917758079e-36,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"ACSS2",7.45806259477751e-40,2.72564345191985,0.147,0.04,4.67695105318498e-35,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"MT-RNR2",8.66441997022289e-40,-0.20886294372391,0.994,1,5.43345776332678e-35,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"CCDC144A",1.04290633372523e-39,3.38670491189305,0.103,0.014,6.54006561879093e-35,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"EFCAB10",4.64471306052545e-39,-2.82873665253624,0.033,0.136,2.91269956025551e-34,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"RN7SKP255",1.17263345552097e-38,-2.0704804348462,0.087,0.201,7.35358439957203e-34,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"CDH12",1.76324215549411e-38,3.05661490397558,0.116,0.039,1.10572915571036e-33,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"RNU4ATAC",3.02506932691026e-36,3.18981248169345,0.109,0.02,1.89702097490542e-31,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"FAM210A",8.33189580892528e-36,-1.83052660060719,0.161,0.269,5.22493186177705e-31,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"IL7R",1.59261074897641e-35,-0.41543659649486,0.925,0.974,9.98726200683107e-31,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"PELI1",4.13010855394046e-35,0.798133021270673,0.545,0.445,2.58999107417606e-30,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"HLA-C",1.17268405789776e-33,-0.445568455938265,0.805,0.913,7.35390172707685e-29,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"TAB2",2.69877276339591e-33,0.382375357012873,0.859,0.844,1.69240039992557e-28,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"ENSG00000233635",3.14995138913543e-32,3.01204463529432,0.102,0.022,1.97533451612683e-27,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"ZNF831",5.35215163447845e-32,-0.672918400722587,0.452,0.608,3.35633428998144e-27,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"LINC02968",1.80311113966015e-31,2.83977686238001,0.116,0.027,1.13073099568088e-26,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"ADAMTS3",3.03988814654805e-29,-7.66697209163352,0.127,0.218,1.90631385670028e-24,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"PRKCB",3.96301429259207e-29,-0.564521639904645,0.491,0.648,2.48520626288449e-24,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"CD96",1.66146121492489e-28,0.312602409133802,0.962,0.96,1.0419023278794e-23,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"SNED1",2.6309052372987e-28,-0.945388004126634,0.276,0.418,1.64984067431001e-23,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"HDGFL3",5.12644067580844e-28,1.36252856268533,0.211,0.095,3.21479094779947e-23,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"FMN1",1.18718828500902e-27,-1.70971748871526,0.066,0.168,7.4448577352916e-23,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"HFM1",2.05251276477354e-27,1.99228002068058,0.139,0.111,1.28713075478948e-22,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"TMEM229B",3.01398599003142e-27,2.26065676586971,0.127,0.055,1.8900706143487e-22,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"TC2N",1.21139413190806e-26,0.578298328949642,0.632,0.496,7.59665260119546e-22,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"CCDC144BP",1.31512996025718e-26,1.57033737455518,0.234,0.155,8.24717998077277e-22,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"ATXN1",1.3275383535841e-26,0.491593385757901,0.837,0.806,8.32499301532588e-22,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"HLA-H",2.55990731553904e-26,1.03788702177944,0.265,0.176,1.60531787757453e-21,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"NRG1",3.37723560908354e-26,2.46628416696588,0.105,0.03,2.11786445045629e-21,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"NECAP2",6.21616944845959e-26,0.671959528635191,0.397,0.377,3.89815986112901e-21,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"ZNF335",7.37462496378901e-26,1.63349905992112,0.364,0.282,4.62462731479209e-21,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"ARHGEF18",2.02155282302201e-24,-0.333923232352435,0.752,0.865,1.2677157753171e-19,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"JAZF1",2.64392142581034e-24,0.655580050883111,0.505,0.358,1.65800312612566e-19,"22","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
