"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","stim","timepoint","comparison"
"ENSG00000265781",1.99164631577402e-66,-11.6786788776433,0,0.52,1.24896140462189e-61,"10","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"LINC02899",1.52641406551573e-44,-4.29273194578587,0.047,0.514,9.57214260484914e-40,"10","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"ENSG00000289605",2.54934623413075e-42,-6.20703562529135,0.015,0.423,1.59869502342339e-37,"10","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"CD5L",7.07352738116902e-41,-8.20323139459152,0,0.334,4.4358090207311e-36,"10","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"PRDM14",3.24141326490148e-39,-7.42514252524758,0.006,0.357,2.03269025841972e-34,"10","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"LTBP3",5.79708158577272e-37,-1.71537959080171,0.491,0.869,3.63534986243807e-32,"10","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"DCLRE1A",9.55244870866706e-37,-6.00182454768248,0.056,0.409,5.99034058520511e-32,"10","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"ENSG00000285658",3.89467544401852e-34,-5.24198409273944,0.044,0.363,2.44235097094402e-29,"10","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"HTR4",2.6992629955943e-28,-5.08174278594404,0.006,0.294,1.69270782453718e-23,"10","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"BACE2",4.95048487114762e-28,-4.15380182961741,0.015,0.323,3.10444906269667e-23,"10","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"RALYL",1.58070405417444e-27,-5.34444085444263,0.03,0.343,9.91259512372791e-23,"10","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"TFCP2",3.90379960066827e-27,-3.7443957433378,0.704,0.889,2.44807272957907e-22,"10","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"XIST",1.16517052476106e-26,-0.914789788696944,0.441,0.863,7.30678436077662e-22,"10","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"MTCO1P12",1.27202010548609e-25,4.13287174799012,0.207,0.011,7.97683808150326e-21,"10","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"UTY",1.93921376576854e-24,2.19595042246935,0.497,0.14,1.21608095251345e-19,"10","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"PRKY",1.66167035947472e-23,2.48849540421863,0.476,0.169,1.0420334824266e-18,"10","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"ENSG00000283907",1.94150668471722e-22,4.24215702685485,0.34,0.117,1.21751884198617e-17,"10","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"FBN1",7.23080295285609e-22,-3.39110385905526,0.047,0.346,4.53443653173605e-17,"10","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"AHNAK",1.76606534201462e-21,1.84803220208056,0.683,0.506,1.10749957597737e-16,"10","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"SLA2",2.16474472949327e-21,-1.06769303357222,0.698,0.911,1.35751141986523e-16,"10","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"IL7R",2.21648832741912e-21,-0.840008699524598,0.882,0.971,1.38995983012453e-16,"10","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"ABTB3",2.94632414611196e-21,-1.16121838897688,0.654,0.94,1.84763987202681e-16,"10","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"USP9Y",5.70595239356845e-21,2.44074832622292,0.429,0.131,3.57820274600677e-16,"10","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"MT-ND5",5.97613616809165e-21,0.770252410160598,0.917,0.954,3.74763499101027e-16,"10","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"PDE3B",1.85089930374364e-20,-0.464856232733393,0.994,1,1.16069895337763e-15,"10","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"SLCO5A1",1.04159924652537e-18,-1.90985453237999,0.172,0.514,6.53186887496061e-14,"10","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"ENSG00000266302",1.40408920321342e-18,3.76501095052256,0.175,0.017,8.80504339335136e-14,"10","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"DMGDH",1.50023263597619e-18,5.8269715988032,0.299,0.063,9.40795886020667e-14,"10","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"CACNA1B",1.60318701111181e-18,-3.90531306717884,0.024,0.246,1.00535857466822e-13,"10","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"MIR3667HG",2.18279351305142e-18,-1.17620414983818,0.639,0.869,1.36882981203454e-13,"10","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"GNLY",5.02739468078225e-18,-0.746649957165036,0.589,0.863,3.15267920431855e-13,"10","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"LAPTM4B",6.09205927142001e-18,-2.9844561454512,0.065,0.329,3.82033036910749e-13,"10","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"C3orf70",8.21503442594235e-18,-2.76830153003275,0.033,0.28,5.15164808850845e-13,"10","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"HFM1",9.92663160485563e-18,1.90059353031962,0.263,0.369,6.22499067940497e-13,"10","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"ENSG00000268081",1.41256700110141e-17,-1.73011455016206,0.115,0.434,8.85820766390693e-13,"10","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"SYNE2",1.89929344977277e-17,0.605714747526132,0.994,0.991,1.1910469223525e-12,"10","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"RN7SKP255",5.262822048308e-17,-2.58987736063729,0.107,0.417,3.30031570649395e-12,"10","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
