"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","stim","timepoint","comparison"
"ENSG00000283907",6.26371385595774e-07,1.94096391982404,0.653,0.291,0.039279749590711,"15","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"TPT1",9.14240634055061e-07,-1.24880082210051,0.778,0.909,0.0573320301615929,"15","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"LPL",1.27229854246707e-06,-6.45163512640584,0,0.255,0.0797858415981097,"15","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"ENSG00000255314",2.85688574247955e-06,5.08659163588391,0.25,0,0.179155304910892,"15","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"ENSG00000227718",3.54139871012661e-06,-5.75622485965314,0,0.236,0.222081113112039,"15","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"PCLO",5.06669112899215e-06,-6.86521989394758,0,0.236,0.317732200699098,"15","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"ENSG00000254367",5.92917977458808e-06,4.61971668626037,0.25,0,0.371818863664419,"15","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"GSG1L",8.98598746002079e-06,4.91146535843751,0.25,0.018,0.563511273617904,"15","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"PARD3",2.20101869938041e-05,-2.43873490848116,0.097,0.491,1,"15","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"NCL",3.07752406741242e-05,-0.738988387199282,0.833,0.855,1,"15","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"B4GALNT3",3.09182570342225e-05,-6.6122027637795,0,0.2,1,"15","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"PTMA",3.7034168629149e-05,-0.983985378362262,0.875,0.982,1,"15","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"RAF1",3.98798899304527e-05,1.35719601689179,0.833,0.545,1,"15","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
