"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","stim","timepoint","comparison"
"ELMO2P1",1.76526558600446e-96,-7.58089246237339,0.002,0.166,1.10699804898339e-91,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"ENSG00000267098",6.62792445523128e-91,-6.4146055501294,0.006,0.172,4.15637142587553e-86,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"C4orf45",2.64773578533126e-90,-6.2693382350113,0.008,0.173,1.66039511098123e-85,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"MT-RNR2",1.67390541955965e-84,-0.427275323317473,0.923,0.999,1.04970608860586e-79,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"PPP1R36",1.04507911266168e-75,7.80645461693444,0.137,0.004,6.55369111550141e-71,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"RAB38",5.88742654310533e-69,-5.81061637902413,0.005,0.141,3.69200518518135e-64,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"ENSG00000265749",9.36267238868847e-69,-6.05388150576722,0.004,0.133,5.87133185494654e-64,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"TRIO",3.24971833233529e-58,-0.545969827363185,0.928,0.979,2.03789836620746e-53,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"RNU4-2",2.07706633315237e-57,-2.01513695998652,0.551,0.672,1.30252829751985e-52,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"RNU4-1",3.50738842200979e-56,-2.20452713155195,0.237,0.406,2.19948327944234e-51,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"ENSG00000254303",9.27943873660033e-54,-5.55926600644719,0.006,0.115,5.81913603172207e-49,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"ENSG00000254468",1.4539813191643e-51,6.0622144710569,0.102,0.007,9.11791685247934e-47,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"HFM1",5.82916689115399e-49,-2.75669506404156,0.053,0.193,3.65547055744267e-44,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"CHST8",1.91420953359837e-48,-5.0902998737169,0.004,0.101,1.20040079851954e-43,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"NECTIN2",6.32756517075373e-48,-4.31548939643567,0.004,0.1,3.96801611857967e-43,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"BCL9",5.95575662973273e-46,3.55435303011346,0.138,0.058,3.7348549825054e-41,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"MT-ND4",6.63988208971928e-45,-0.776011621090694,0.61,0.843,4.16387005846296e-40,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"RNF149",9.96739969208958e-45,1.02677182145735,0.733,0.632,6.25055634690937e-40,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"7SK",9.1849734081265e-44,-1.19276153556308,0.725,0.93,5.75989682423613e-39,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"RIN2",8.21436120854422e-42,3.92189187072753,0.105,0.011,5.15122591387808e-37,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"ATM",1.35079508811827e-41,0.491696575539449,0.903,0.89,8.47083599758966e-37,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"TALAM1",4.01775010596032e-39,0.464700485170942,0.912,0.93,2.51953109144772e-34,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"RPS6",4.9815891697754e-37,-0.660791970151741,0.575,0.805,3.12395456836615e-32,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"ENSG00000253853",8.62822512181607e-37,-1.80620267205897,0.045,0.174,5.41075997389086e-32,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"ENSG00000253238",8.11585980613354e-36,-3.22032639223675,0.015,0.111,5.08945568442634e-31,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"BTN3A1",1.01414953644263e-35,0.717753176256992,0.59,0.49,6.35973174303171e-31,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"ZNF107",1.06783154068303e-34,0.577177535905183,0.624,0.567,6.69637159162326e-30,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"STAT1",1.20048888933681e-33,0.812037301049047,0.694,0.597,7.52826582503111e-29,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"LINC02641",1.21864079736937e-33,-2.83577025010681,0.018,0.114,7.64209644030331e-29,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"SRPRB",3.55707148073654e-33,-4.13801439451044,0.062,0.142,2.23063952556988e-28,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"MT-CO1",4.58670688804744e-33,-0.542161078393882,0.677,0.897,2.87632388949455e-28,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"BACH2",5.75635521478844e-33,-0.53757223119463,0.914,0.963,3.60981035519383e-28,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"AKAP13",6.12144965392466e-33,0.338424054491775,0.919,0.912,3.83876107797615e-28,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"LOXL2",1.79142838613928e-32,1.69228353361,0.206,0.112,1.12340474094794e-27,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"COL19A1",7.38629871188062e-32,-0.402221362023109,0.892,0.958,4.63194792222034e-27,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"NLRC5",8.27189306952376e-32,0.375669049883739,0.896,0.886,5.18730414389835e-27,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"ZDHHC21",2.56085173294313e-31,0.828247428614768,0.546,0.418,1.60591012172864e-26,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"TMEM63C",3.01546674184651e-30,-3.53188439843996,0.037,0.124,1.89099919381195e-25,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"IGHM",4.91990945587149e-30,-0.422700322134342,0.884,0.959,3.08527521977701e-25,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"B4GALNT1",6.41289636070736e-29,2.64588553161803,0.149,0.067,4.02152730779959e-24,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"ADAM28",8.43420982016135e-29,0.529370325054552,0.871,0.867,5.28909297822318e-24,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"UTY",9.59974787741024e-29,0.780739491914858,0.535,0.405,6.02000189392396e-24,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"GOLGA1",9.85685520316279e-29,0.994644674979353,0.345,0.31,6.18123389790339e-24,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"ST8SIA1",1.35116770400387e-27,2.72520177637807,0.117,0.034,8.47317267180826e-23,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"ANKRD36",1.50707539016335e-27,0.770746891189187,0.509,0.404,9.45086977171434e-23,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"CD79B",4.85532387501643e-27,-0.722979501056697,0.39,0.592,3.04477360202281e-22,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"FUT8",7.81167111258297e-27,0.629488487736406,0.663,0.584,4.89869895470078e-22,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"TYW5",3.00426332020813e-26,1.4478726948851,0.21,0.113,1.88397352810252e-21,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"RPL11",4.02383560816141e-26,-0.73553175061767,0.442,0.647,2.52334730987802e-21,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"SAMD9L",4.90003766256303e-26,0.527273252487851,0.678,0.659,3.07281361819328e-21,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"RACK1",9.17422799716933e-26,-0.824736592130594,0.393,0.583,5.75315837702489e-21,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"GABPB1-AS1",3.80929649108143e-25,0.860860312608737,0.38,0.261,2.38880982955717e-20,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"IFI44L",7.90751906594968e-25,0.927093671447876,0.387,0.308,4.95880520625705e-20,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"CD74",1.13049386936825e-24,-0.458144007608923,0.81,0.955,7.08932705480832e-20,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"XAF1",1.30985809407902e-24,0.683788440053496,0.447,0.364,8.21412010796951e-20,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"EEF2",1.31037058039808e-24,-0.591071963234004,0.604,0.796,8.21733390967635e-20,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"PTMA",1.60904692995891e-24,-0.290745518180852,0.688,0.883,1.00903332977723e-19,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"VPS13C",2.15867756889599e-24,0.329257654315322,0.935,0.947,1.35370670345468e-19,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"MT-CYB",4.4886399869947e-24,-0.719513491259157,0.437,0.636,2.81482613584438e-19,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"USP9Y",3.75388855346599e-23,0.772214731742672,0.436,0.321,2.35406351187852e-18,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"PTPN1",5.48330830743884e-23,0.420530845728652,0.692,0.694,3.4385826395949e-18,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"MAMDC2",5.6946365736828e-23,-1.67490646123134,0.048,0.145,3.57110659535648e-18,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"SESN3",7.14890995211382e-23,0.416028684018745,0.94,0.946,4.48308143097057e-18,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"SLC38A2",1.64649290465393e-22,4.14246526400093,0.585,0.66,1.03251570050848e-17,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"CD47",2.27879211775958e-22,0.304865175545676,0.8,0.827,1.42903053704703e-17,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"TPT1",3.31412735124053e-22,-0.647525858373605,0.491,0.682,2.07828926196294e-17,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"HLA-C",4.68586936574492e-22,-0.459897006633712,0.728,0.894,2.93850867925864e-17,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"STEAP1B",8.54013721992101e-22,-0.535643666880141,0.647,0.823,5.35552005061246e-17,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"BCL2",1.24473722298866e-21,-0.394278478720343,0.885,0.961,7.80574712536192e-17,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"MTSS1",1.2579882511734e-21,-0.446693971390528,0.609,0.789,7.88884432310838e-17,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"SHLD2",1.39137783151748e-21,-0.84071175213686,0.267,0.422,8.72533038144609e-17,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"NBPF26",4.13934672200524e-21,-1.45950844666287,0.059,0.157,2.59578432936949e-16,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"TMEM117",5.91421684753132e-21,0.885952014498104,0.387,0.286,3.70880538508689e-16,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"ADAMTS6",1.18645961712446e-20,1.23024583541423,0.262,0.166,7.44028825898751e-16,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"C16orf74",1.60253347367951e-20,-0.455910886535896,0.705,0.863,1.00494874134442e-15,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"BMT2",1.91102447521175e-20,0.610816299599866,0.446,0.42,1.19840344840529e-15,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"MT-ATP6",1.9923785259384e-20,-0.781657069602457,0.377,0.551,1.24942057361597e-15,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"FARP2",2.08223235453693e-20,0.443436838283512,0.593,0.549,1.30576790953011e-15,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"ASTN2",2.1519355495171e-20,2.02606998745051,0.148,0.102,1.34947878310217e-15,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"ENSG00000225339",3.01267399376346e-20,1.962753518847,0.109,0.039,1.88924786148906e-15,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"SLC7A10",3.02544905508772e-20,-1.94646236335633,0.029,0.105,1.89725910244551e-15,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"EEF1A1",5.17648554884045e-20,-0.495655969916984,0.664,0.852,3.24617408767785e-15,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"BMF",5.32384200493478e-20,-0.514328416157978,0.427,0.608,3.3385813212946e-15,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"RPLP2",9.95071501651782e-20,-0.774086156899011,0.328,0.496,6.24009338685833e-15,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"GRK5",1.00271350491329e-19,-0.554819028777211,0.569,0.735,6.28801638931126e-15,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"LINC00278",1.05904923250629e-19,0.852427138482207,0.341,0.228,6.64129773704694e-15,"25","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
