"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","stim","timepoint","comparison"
"SERPINB10",2.47153217402557e-68,-7.69334710305814,0.01,0.322,1.54989782633143e-63,"8","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"ENSG00000265781",8.54476325691823e-59,-11.5903839157403,0,0.257,5.35842103841342e-54,"8","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"DCLRE1A",8.8761511107576e-43,-7.93455157639479,0.003,0.207,5.56623436155609e-38,"8","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"PRDM14",1.19213151376157e-40,-7.75081140940116,0.002,0.194,7.47585672279883e-36,"8","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"CD5L",1.08813166403955e-37,-7.53392191445289,0.002,0.18,6.82367366519205e-33,"8","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"LINC02899",3.29319498240315e-37,-5.50242546421878,0.011,0.207,2.06516257346502e-32,"8","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"TFCP2",2.52692888760896e-36,-4.07027377737184,0.407,0.553,1.58463710541958e-31,"8","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"ENSG00000285658",4.92307371721601e-36,-4.73231574895929,0.017,0.218,3.08725952806616e-31,"8","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"FBLIM1",1.44255626209923e-34,8.62087507433782,0.152,0.001,9.04627031962427e-30,"8","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"RALYL",3.17680160134958e-30,-4.57739356696016,0.011,0.183,1.99217228420632e-25,"8","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"ERC2",6.19731979219765e-30,5.4842045503685,0.195,0.048,3.88633924168715e-25,"8","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"TTC39B",9.01815912486571e-30,4.77760682186557,0.238,0.068,5.65528758720328e-25,"8","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"XIST",2.49376883990794e-28,-1.05387308340003,0.266,0.561,1.56384243950627e-23,"8","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"HLA-C",3.86384994958544e-26,-0.585452695307946,0.854,0.932,2.42302030338503e-21,"8","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"MTCO1P12",1.51409028253191e-23,3.15884762745255,0.13,0.014,9.49486016175761e-19,"8","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"LAPTM4B",2.95439976337491e-23,-3.96030499049202,0.014,0.158,1.8527040916124e-18,"8","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"BACE2",3.73531309566373e-23,-6.208335449936,0.002,0.118,2.34241484229072e-18,"8","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"PLCD1",4.07265781767838e-22,4.74837302585794,0.114,0.006,2.55396371746612e-17,"8","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"ENSG00000285834",4.45043134076797e-21,6.08306508210437,0.105,0.004,2.79086549379559e-16,"8","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"ABCA1",5.5618005598778e-20,-0.741230353199987,0.642,0.821,3.48780513109937e-15,"8","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"FBN1",2.82915678453854e-18,-2.99108382901684,0.011,0.128,1.77416421958412e-13,"8","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"B4GALNT1",5.16602636577403e-18,8.09660329814544,0.17,0.095,3.23961513397689e-13,"8","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"SLC16A10",6.96798280052029e-18,-1.9476049583067,0.12,0.29,4.36962201420627e-13,"8","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"PTPRJ",1.81003769967389e-17,0.470025504279408,0.981,0.962,1.1350746414655e-12,"8","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"CDH12",5.22639381113188e-17,3.35593660525291,0.152,0.049,3.2774715589608e-12,"8","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"BANP",6.63527621309896e-17,-0.67015348339141,0.837,0.89,4.16098171323436e-12,"8","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"SLC25A37",7.20893477897243e-17,-0.667338977954098,0.602,0.755,4.52072299989361e-12,"8","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"TMC7",8.5633749737206e-17,4.50646704239257,0.114,0.035,5.37009244602019e-12,"8","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"VAV2",9.63799635595723e-17,-0.858779082705397,0.398,0.61,6.04398751482078e-12,"8","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"EFCAB10",2.99898315162557e-16,-4.04827625595547,0.027,0.134,1.8806623343844e-11,"8","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
"ACSS2",3.1473376992471e-16,2.75852289720377,0.171,0.075,1.97369547119786e-11,"8","BCG_treated","week12","IGRApos_BCG_12wk_vs_IGRAneg_BCG_12wk"
