"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","stim","timepoint","comparison"
"ELMO2P1",2.72988882489287e-19,-6.88709639374082,0.003,0.131,1.71191328209032e-14,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"ENSG00000254303",4.42912141751901e-19,-8.02849799181058,0.003,0.138,2.77750204092617e-14,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"ENSG00000235140",1.74244655573103e-17,9.58403971488874,0.141,0,1.09268823509893e-12,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"ENSG00000267098",1.04704609671447e-16,-5.28172377305648,0.007,0.131,6.56602607249645e-12,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"RNU4-2",1.34634593958278e-16,-2.13239948584721,0.762,0.703,8.44293538712359e-12,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"C4orf45",8.32546925198375e-15,-4.18851864108269,0.015,0.144,5.22090176791901e-10,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"MT-RNR2",3.54194940751075e-14,-0.690174993929983,0.986,0.997,2.22115647344999e-09,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"RNU4-1",4.40145705869621e-14,-2.42116776495398,0.25,0.358,2.76015372150839e-09,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"FPR1",2.31845424568957e-13,-7.80271543645773,0.002,0.107,1.45390265747193e-08,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"ASTN2",2.6571767082085e-13,5.0089613864798,0.239,0.061,1.66631551371755e-08,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"RAB38",3.86670364113245e-13,-8.59951690455222,0.005,0.11,2.42480985335416e-08,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"RMRP",6.39990428749437e-13,3.41114370907452,0.229,0.049,4.01337997868772e-08,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"SLC30A10",2.6276263062363e-12,5.70436982083653,0.166,0.043,1.64778445664078e-07,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"BCAS1",4.6500306909226e-12,5.88002217074743,0.117,0.003,2.91603424627756e-07,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"LRRC4C",1.04919346820688e-11,2.91015607424756,0.149,0.015,6.57949223912537e-07,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"SLC38A2",1.89388888080991e-10,7.04173651220414,0.652,0.498,1.18765771715589e-05,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"ARMH3",2.00290029858553e-08,-1.20813192601278,0.27,0.321,0.00125601877724299,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"ANK3",2.61938020004799e-08,-0.946771644231929,0.401,0.495,0.0016426133234501,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"RNF149",3.50807515351913e-08,0.861976494690454,0.728,0.526,0.00219991392877185,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"RPLP1",4.93538624344352e-08,-0.986122481493589,0.328,0.376,0.00309498071326343,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"RACK1",1.05873174826046e-07,-1.09704641498929,0.287,0.385,0.00663930679334133,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"7SK",1.23040171144354e-07,-1.21025288653026,0.706,0.783,0.00771584913246246,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"DPH6",1.81044363968322e-07,-2.1257756213945,0.076,0.162,0.0113532920644535,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"HFM1",2.91941095121051e-07,-2.82449775048996,0.032,0.119,0.0183076260750411,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"RPL31",6.03386118045458e-07,-1.06794044606029,0.321,0.41,0.0378383434626307,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"EXOC6",1.16954476575693e-06,-1.06076226601802,0.19,0.291,0.0733421522606171,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"MT-ATP6",1.21283830714193e-06,-1.07554441234973,0.229,0.294,0.0760570902408705,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"RPS5",2.24337787599143e-06,-1.31379401286972,0.16,0.242,0.140682226603423,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"ENSG00000243276",2.95540019885099e-06,3.64083258927057,0.105,0.018,0.185333146469946,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"FTH1",1.35292485198412e-05,-0.91034225269191,0.272,0.376,0.848419174679245,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"MT-ND4",1.77264051579071e-05,-0.541583613526398,0.497,0.55,1,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"EEF2",1.77295990024731e-05,-0.467816740129584,0.489,0.474,1,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"ITSN1",3.45731108900512e-05,2.42505068053664,0.165,0.067,1,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"PTPRC",3.58652156145454e-05,-0.184151637458543,0.925,0.862,1,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"TMSB10",3.64502757593253e-05,-0.962888093303024,0.261,0.324,1,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"RPL27",4.91202391715525e-05,-0.987086923551259,0.185,0.275,1,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"HDAC4",5.41705433103038e-05,-0.678954020287118,0.292,0.349,1,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"STAM",5.89800555300468e-05,1.03913501786703,0.267,0.113,1,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"NAA30",6.70700637353594e-05,0.702613738099555,0.129,0.046,1,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"FTL",9.2003250131756e-05,-1.52414235294671,0.134,0.174,1,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"WHAMM",0.000102833248894334,0.755463173962766,0.484,0.306,1,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"NEAT1",0.000113519994077655,-0.671573531170412,0.569,0.648,1,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"TPT1",0.000113595575603404,-0.399436893747934,0.572,0.587,1,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"MBP",0.000115980838297565,-0.452812002228936,0.474,0.45,1,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"GMDS",0.000117379379381101,1.19997051767448,0.413,0.254,1,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"MT-CO3",0.000118217445725443,-0.796450312596091,0.238,0.239,1,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"ZFP36L1",0.000121242224762159,-0.762654067139856,0.331,0.361,1,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"RNF115",0.000125288371834349,-2.49790364334263,0.238,0.214,1,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"RPS29",0.000135435470241255,-0.706148868306759,0.229,0.312,1,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"SNRNP70",0.000135476711946199,0.37962910004446,0.458,0.291,1,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
"AEBP2",0.000139033231262244,-0.478553472105432,0.358,0.355,1,"7","media_treated","week44","IGRApos_Med_44wk_vs_IGRAneg_Med_44wk"
