"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","stim","timepoint","comparison"
"HFM1",1.60904322792855e-116,-3.06358140902668,0.073,0.303,1.009031008234e-111,"24","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"IFI44L",4.92737558018852e-97,2.126123971806,0.53,0.201,3.08995722633622e-92,"24","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"LINC01091",2.35342445676911e-88,-6.12795398657054,0.014,0.182,1.47583247683991e-83,"24","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"ZFPM2",3.41486854478447e-85,-5.21925247647209,0.036,0.15,2.14146406443434e-80,"24","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"RPS6",7.1808382874181e-85,-0.77349049603797,0.806,0.877,4.50310369003989e-80,"24","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"EEF1A1",2.46678068114886e-81,-0.656657714386917,0.88,0.925,1.54691816514845e-76,"24","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"SMOC2",2.8850629285408e-81,-7.92725185477855,0.001,0.115,1.80922296248793e-76,"24","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"PLCH1",7.37824466373846e-75,-5.68879619255982,0.01,0.153,4.62689722863039e-70,"24","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"NLGN1",1.32571427571926e-73,-5.35873828758651,0.015,0.149,8.3135542230355e-69,"24","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"PCLO",1.94754511764608e-73,-6.23264940810623,0.008,0.118,1.22130554327586e-68,"24","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"RPL13A",1.01110176702732e-72,-0.769980489795416,0.669,0.767,6.34061918102833e-68,"24","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"RPL4",7.0943141979788e-72,-0.799172831961365,0.577,0.663,4.4488444335525e-67,"24","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"LINC02934",6.14056800501743e-69,6.55448135719849,0.153,0.022,3.85075019594643e-64,"24","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"TPT1",1.15088373121426e-66,-0.680261963611462,0.763,0.826,7.2171918784446e-62,"24","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"HRH1",7.42173535188325e-66,-5.82916401505743,0.009,0.131,4.65417023916599e-61,"24","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"STEAP1B",1.09078310534465e-61,-0.667621741235214,0.814,0.858,6.84030085361628e-57,"24","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"EPN2",2.28244148008792e-61,-2.9469843303807,0.066,0.21,1.43131905216314e-56,"24","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"ANK3",2.51275615498893e-61,-0.679094213748456,0.963,0.992,1.57574938479356e-56,"24","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"XAF1",5.77526259180264e-56,1.2718956998907,0.602,0.334,3.62166717131943e-51,"24","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"SLC30A10",1.09491456606503e-55,4.61544160391014,0.164,0.024,6.8662092437938e-51,"24","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"DDX60",1.5068772804056e-55,1.4779239222041,0.514,0.252,9.44962742542353e-51,"24","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"LRRC52-AS1",1.83280562166727e-55,10.4807597272087,0.109,0.001,1.14935240534754e-50,"24","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"RPL19",3.39157270850886e-53,-0.81491064087559,0.549,0.632,2.12685524550591e-48,"24","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"RPS8",5.3052175760601e-53,-0.783694359475164,0.61,0.712,3.32690194194729e-48,"24","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"EMILIN2",1.91960899668125e-52,-3.67753308538175,0.023,0.142,1.20378680181881e-47,"24","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"RPL13",1.98978304876309e-52,-0.883554709768798,0.467,0.587,1.24779294987933e-47,"24","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"CNTNAP5",8.56721781483296e-52,4.38329998860813,0.181,0.042,5.37250229168175e-47,"24","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"JDP2",4.30770822494692e-50,6.79451281026691,0.103,0.003,2.70136382786421e-45,"24","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"B4GALNT3",7.58673512138127e-50,-3.76112528457445,0.01,0.101,4.7576415946182e-45,"24","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"STAT1",3.31830474253849e-49,0.836070051235414,0.859,0.714,2.08090890404589e-44,"24","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"RPS27A",7.47323460097352e-49,-1.0910103843328,0.301,0.437,4.6864654182705e-44,"24","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"IFI44",1.40213164486318e-48,1.6584612831951,0.38,0.155,8.79276754493701e-44,"24","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"H4C8",1.98936869193112e-47,3.8437059269607,0.148,0.02,1.24753310671001e-42,"24","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"ENSG00000233005",2.31282828396432e-47,5.0157574372427,0.124,0.011,1.45037461687403e-42,"24","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
"OXR1",5.5977698372916e-47,6.43635338615808,0.533,0.403,3.51036146496556e-42,"24","BCG_treated","week44","IGRApos_BCG_44wk_vs_IGRAneg_BCG_44wk"
