"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","stim","timepoint","comparison"
"FMN1",9.52744953647119e-20,-1.71752862628034,0.268,0.63,5.97466360432108e-15,"11","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"RPS6",9.80313294094227e-17,-0.926857977900597,0.677,0.88,6.1475446672649e-12,"11","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"ARHGAP15",7.4834885237324e-15,-0.560702662486693,0.987,0.99,4.69289565323259e-10,"11","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"ACER1",9.67734229290177e-14,-5.67318117837097,0.011,0.159,6.0686613518787e-09,"11","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"ADAMTS12",3.00639816754121e-13,6.22549654315239,0.189,0.005,1.88531229086509e-08,"11","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"CCND3",2.8368196151047e-12,-0.703771904741431,0.741,0.889,1.77896958063215e-07,"11","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"ENSG00000233290",6.31750993860677e-12,8.39305285899785,0.163,0.014,3.9617104825003e-07,"11","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"LDHB",1.0044929792709e-11,-1.01792929769342,0.393,0.644,6.2991754730078e-07,"11","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"NFIA",5.75473484277466e-11,-3.28663027725798,0.07,0.231,3.60879421990399e-06,"11","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"SULF1",2.90590959608746e-10,7.9124014572828,0.125,0.01,1.82229590770645e-05,"11","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"LTBP3",3.14972880013217e-10,-1.39746404295777,0.169,0.361,1.97519493056288e-05,"11","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"LINC-PINT",5.99980387870958e-10,0.544274386215023,0.991,0.971,3.76247701233878e-05,"11","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"ENSG00000237188",6.18386305130421e-10,-3.07379505262341,0.053,0.212,3.87790051947287e-05,"11","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"AKAP6",8.10820242031767e-10,4.5534496395436,0.158,0.01,5.08465373778121e-05,"11","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"ZNF462",9.86661552743724e-10,-1.04320860347823,0.514,0.726,6.1873545972559e-05,"11","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"PRKG1",2.01044554430181e-09,-3.65444430983234,0.04,0.168,0.000126075040083167,"11","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"CYRIA",2.65829996021226e-09,-3.79935863519294,0.033,0.139,0.000166701990504911,"11","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
"DAPL1",2.92094564171945e-09,5.1538872636946,0.134,0.005,0.000183172501192227,"11","media_treated","week12","IGRApos_Med_12wk_vs_IGRAneg_Med_12wk"
